id,text,time stamp
@RedGeoChile,"TSUNAMI EN JAPÓN  Tren de paredes de agua originadas por el terremoto 7.5 Mw (USGS) en la península de #Noto, ha ingresado en varios puntos de la costa occidental del país.    Río Seki en la ciudad de Joetsu, prefectura de Niigata. ( @S_Ryu_G ).",01-01-2024
@EN_NERV,The Major Tsunami Warning has been downgraded to a Tsunami Warning.  [Downgraded from Major Tsunami Warning to Tsunami Warning] Noto Peninsula of Ishikawa Prefecture  Do not return home until all tsunami warnings & advisories have been lifted. #japan #tsunami,01-01-2024
@EN_NERV,"Tsunami Warning – 1/1, 4:12pm A Tsunami Warning has been issued. Waves of up to 3m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. #tsunami",01-01-2024
@EN_NERV,"Earthquake Detailed Report – 1/1 At around 4:10pm, an earthquake with a magnitude of 7.4 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings/advisories have been issued. #earthquake",01-01-2024
@EN_NERV,"Earthquake Detailed Report – 1/1 At around 4:10pm, an earthquake with a magnitude of 7.6 occurred near Noto, Ishikawa Prefecture at a very shallow depth. The maximum intensity was 7. Tsunami warnings/advisories have been issued. #earthquake",01-01-2024
@nippon_es,"A las 16:10 se produjo un temblor de magnitud 7,4 cerca de la península de Noto, en Ishikawa. Hay alerta de tsunami. El agua podría alcanzar 3 metros en algunas costas en las prefecturas de Niigata, Toyama e Ishikawa, y en la isla de Sado. (Agencia Meteorológica de Japón)",01-01-2024
@CPPGeophysics,"The aftershock pattern (in purple) suggests that the M7.5 Noto earthquake ruptured bilaterally, with the preliminary NEIC slip model also indicating slip on both sides of the epicenter",01-01-2024
@EarthUncutTV,"Major earthquake off Noto Pensinsula #Japan, emergency alert on phone and very noticeable shaking here in central Nagano. Preliminary M7.4 with Shindo 7 shaking, this is a major event",01-01-2024
@EN_NERV,"Tsunami Advisory – 1/2, 2:30am The Tsunami Advisory has been updated. Waves of up to 1m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. #tsunami",01-01-2024
@CAO_BOUSAI,"[Earthquake Information] 16:10 JST on 01 Jan 2024, Seismic intensity 7 at Noto,  Ishikawa Prefecture. Epicenter:Noto, Ishikawa Prefecture, depth very shallow, estimated magnitude 7.6. Tsunami warning has been issued.",01-01-2024
@EN_NERV,"Tsunami Advisory – 1/2, 1:15am The Tsunami Warning has been downgraded to a Tsunami Advisory. Waves of up to 1m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. #tsunami",01-01-2024
@CAO_BOUSAI,"[Major Tsunami Warning] Currently, a major tsunami warning is issued for Noto Area, Ishikawa Prefecture. View estimated arrival times and heights here: JMA website →https://jma.go.jp/en/tsunami/",01-01-2024
@CAO_BOUSAI,"[Earthquake Information] 16:56 JST on 01 Jan 2024, Seismic intensity 5+ at Noto,  Ishikawa Prefecture. Epicenter:Noto, Ishikawa Prefecture, depth 20km, estimated magnitude 5.7. Tsunami warning has been issued.",01-01-2024
@chematierra,PRECAUCIÓN  Tras el #terremoto de M7.5 en #Japón  Se ha emitido alerta de tsunami. Se prevé un #tsunami de 5 metros en la península de #Noto.,01-01-2024
@CAO_BOUSAI,"[Earthquake Information] 16:10 JST on 01 Jan 2024, Seismic intensity 7 at Noto,  Ishikawa Prefecture. Epicenter:Noto, Ishikawa Prefecture, depth very shallow, estimated magnitude 7.4. Tsunami warning has been issued.",01-01-2024
@SkyAlertMx,"#TerremotoJapón - Se registran serios daños en poblaciones cercanas al epicentro, como en Noto. El tsunami en esa zona ha alcanzado olas de hasta 5 metros de altura. Sigue la alerta local vigente. https://x.com/Ave_Maria_h/st/Ave_Maria_h/status/1741721088332386553…",01-01-2024
@proceso,Llegan los primeros tsunamis a la costa oeste de Japón tras el terremoto de la península de Noto (Videos),01-01-2024
@DrWendyRocks,"“This is a video of the tsunami caused by the earthquake off the coast of the Noto Peninsula that occurred on January 1, 2024, traveling up the Seki River in Joetsu City, Niigata Prefecture. Photographed from the second floor of my home.”",01-01-2024
@DanielKahl,"拡散希望 A large earthquake struck near the Noto Peninsula in Toyama Prefecture central Japan at 16:20. A large tsunami warning has been issued.  If you are anywhere near the Sea of Japan in the Hokuriku Region (Fukui, Ishikawa, Toyama), head to higher ground immediately.",01-01-2024
@business,Japan issues a tsunami warning for its almost all of its western coast after a powerful earthquake with a magnitude 7.6 hit off the Noto Peninsula about 300 km from Tokyo on Monday https://trib.al/CAGzxJX,01-01-2024
@USGS_Quakes,"Our hearts go out to residents of Japan's Noto Peninsula, hit by strong shaking from a shallow (10 km depth) M7.5 along Japan's west coast.  Subduction zone quakes can reach M9+ but large shallow crustal quakes can also generate severe local shaking.",01-01-2024
@CNBCTV18Live,#Japan downgrades ‘Major Tsunami Warning’ to a 'Tsunami Warning' for the #Noto region,01-01-2024
@atul6622,"Huge tsunami warning issued to #Noto region of #Japan's Ishikawa Pref. PM #Kishida orders all-out efforts to grasp quake damage, take necessary relief measures  #Ishikawa  #Earthquake  #Earthquake #Intensity #Tsunami #Earthquake #Noto #Ishikawa #Tokyo #Japan #Earthquke",01-01-2024
@frankhcosv,"#ULTIMAHORA| Daños de consideración en Noto, #Japon debido al fuerte #Terremoto de 7,6 grados en Japón: Hubo 21 sismos en 90 minutos, hay alerta de tsunami, generaron incendios y masivos cortes de energía, además dejaron atrapadas al menos a seis personas. #SismoJapon",01-01-2024
@Top_Disaster,"Heavy damage aftermath the strong 7.6 Magnitude earthquake that hit in Noto peninsula, Japan  (01.01.2024)  TELEGRAM JOIN  https://t.me/Disaster_News",01-01-2024
@robotopia,"The Noto Peninsula, site of today's powerful #quake in #Japan, has long been producing exquisite lacquerware like these cups I photographed in Wajima last July. At least one lacquerware warehouse has been destroyed, according to media reports",01-01-2024
@DrLucyJones,"The New Years Day M7.5 in Japan caused strong shaking for many people, but because of strong, enforced building codes in Japan, the damage is much less than it could have been. The people on the Noto peninsula will have been hit the hardest.  This thread explains more",01-01-2024
@Rainmaker1973,Effect of the earthquake that hit Central Japan today: roads cracking and pavements rising.  [ mmmin726] https://x.com/mmmin726/status/1741811722854490564/video/1…,01-01-2024
@MarioNawfal,"JUST IN: JAPAN HAD OVER 40 EARTHQUAKES IN TWO HOURS   (25) Noto, Ishikawa Prefecture: - 7.6, 6.1, 5.7, 5.7, 5.2, 5.2, 5.0, 5.0, 4.9, 4.9, 4.8, 4.8, 4.6, 4.6, 4.5, 4.4, 4.3, 4.3, 4.2, 4.2, 4.2, 3.9, 3.8, 3.8  (8) Off the Coast of Noto Peninsula: - 5.6, 5.3, 5.2, 4.9, 4.8,",01-01-2024
@karinamichelin,"Um terremoto de magnitude 7,5 atingiu o oeste do Japão na tarde de segunda-feira, 1 de janeiro 2024, desencadeando um alerta de tsunami e um alerta oficial aos residentes para evacuarem as áreas costeiras afetadas o mais rápido possível.  O terremoto ocorreu às 16h10. hora local,",01-01-2024
@SinarOnline,Video tular menunjukkan ruang letak kereta bergegar kuat selepas Semenanjung Noto di Ishikawa dilanda gempa bumi 7.4 pada skala Richter pada Isnin.  #SinarHarian #SinarTerkini #Jepun #Gempa #Tsunami #Ishikawa,01-01-2024
@Fa1ryNight,"“ Yabai “ que vocês tanto escutam significa perigo/perigoso.  Pra vocês terem uma ideia de como está sendo o terremoto na região de Noto, província de Ishikawa, já são 74 tremores desde o 1º ocorrido as 16:06 hs   Na sequência os prints.",01-01-2024
@mondoterremoti,"Alle 8:10 italiane, le 16:10 locali, un violento #terremoto di magnitudo 7.5 si è verificato nell'estremità settentrionale della penisola di Noto, in #Giappone. La scossa ha causato numerosi danni, innescato alcune frane e un prodotto un importante tsunami",01-01-2024
@Otaku_Anime_Ind,"Jepang diguncang gempa berkekuatan magnitudo 7,6 pada hari pertama 2024. Badan Meteorologi dan Geofisika Jepang mengeluarkan peringatan tsunami hingga lima meter, peringatan tsunami itu dikeluarkan untuk sepanjang pantai barat di prefektur Ishikawa, Niigata, dan Toyama",01-01-2024
@mrjeffu,"Video of the earthquake as it was experienced in Nagano, which is quite far from the epicenter of the earthquake that hit the Noto peninsula today.",01-01-2024
@mrjeffu,"Video of the aftermath of the earthquake that just hit Japan's Noto peninsula, shared by someone who works for the Matsunami Sake brewery:",01-01-2024
@nexta_tv,Several earthquakes of up to 7.4 magnitude have struck Japan  A tsunami threat has been announced on the country's west coast.,01-01-2024
@Top_Disaster,"Moment of the strong 7.6 M earthquake in Noto of Ishikawa, Japan  (01.01.2024)  TELEGRAM JOIN  https://t.me/Disaster_News",01-01-2024
@imAdityaRathore,7.4-magnitude earthquake hits western Japan.  Tsunami warnings have been issued.  The quake occurred at 16:10 (JST) in Noto area.  Government said they are checking for any irregularities at nuclear power plants.  #Japan #earthquakes #japanese #japannews #biden,01-01-2024
@MyLordBebo,"Details about the powerful 7.0 magnitude earthquake in Japan.  Local media write that mass evacuation is underway on the west coast of the country due to the threat of a tsunami. Waves over 1.2 meters high have already reached the Noto Peninsula, where a five-meter tsunami",01-01-2024
@WeatherWupk,"JUST IN: JAPAN HAD OVER 40 EARTHQUAKES IN TWO HOURS   (25) Noto, Ishikawa Prefecture: - 7.6, 6.1, 5.7, 5.7, 5.2, 5.2, 5.0, 5.0, 4.9, 4.9, 4.8, 4.8, 4.6, 4.6, 4.5, 4.4, 4.3, 4.3, 4.2, 4.2, 4.2, 3.9, 3.8, 3.8  (8) Off the Coast of Noto Peninsula: - 5.6, 5.3, 5.2, 4.9, 4.8,",01-01-2024
@Marchfoward,"TERKINI  Gempa bumi berlaku lagi berhampiran Semenanjung Noto, Jepun",01-01-2024
@ChuckCallesto,"BREAKING NOW:  Major Tsunami Warning Issued for Japan after 7.6 magnitude earthquake hits just north of the Mainland..  DEVELOPING..  Residents told TO EVACUATE after strong earthquakes..  Waves as high as five meters, or 16 feet, could hit the shores of the Noto region of",01-01-2024
@JapanEmb_Arg,"El 1/1 a las 16:10h  se produjo un terremoto de magnitud 7,6 con epicentro en Noto, Pref. de Ishikawa y siguen las réplicas en zonas cercanas  El sismo registró una intensidad 7 (escala de 0 a 7)  Seguí las indicaciones de  @ARGenJapon_  y últimas noticias en  @NHKWORLD_News",01-01-2024
@Tendar,"The year starts with a relative strong earthquake in Japan. According to USGS, a M7.5 quake rocked the north of the Ishikawa prefecture. Tsunami warning along the entire Western coast of Japan. Operations of the Shinkansen and every other train services in the immediate area of",01-01-2024
@HollowDreams01,"BREAKING: Footage  A major 7.6-magnitude earthquake occurred in #Japan. Footage from the local Shinkansen station in Ishikawa prefecture, extremely powerful shaking! #earthquake  A #tsunami warning has also been issued.  #deprem #sismo #地震",01-01-2024
@Fala_Babi,Que triste gente    Tsunami atinge Ishikawa no Japão após o terremoto M7.5. (01 de janeiro  #Terremoto  2024 começou assim,01-01-2024
@YoshiEnomoto_,,01-01-2024
@TimesAlgebraIND,BREAKING: Waves recorded breaking over the seawall in Ishikawa prefecture amid Tsunami warning in Japan. #Japan #Earthquake #Tsunami,01-01-2024
@TPV_John,BREAKING! Ishikawa Prefecture region of Japan rings in the New Year 2024 with a 7.6 Magnitude Earthquake causing hazardous tsunamis up and down the Western coast.   Pray for Japan!,01-01-2024
@CaptainKantor,"Ishikawa prefecture, west coast of Japan experienced 7.4 magnitude earthquake and numerous after shocks. First major Tsunami warning has been issued since 2011. Just watching this would score the living daylights out of you.",01-01-2024
@mrjeffu,Video: it looks like the stone lanterns at Ishikawa's Onominato Shrine nearly fell over during today's earthquake.,01-01-2024
@mrjeffu,The earthquake that hit Ishikawa today was so strong that it apparently knocked over the stone lantern at the Sanjoso Hachimangu Shrine up the coast in Niigata prefecture. (Niigata recorded an earthquake intensity of 5+ on the JMA scale),01-01-2024
@RRcarlos24,"El 2024 empieza con fuerza, un terremoto en la region de Ishikawa Japón, de magnitud 7.4-7.6 (con una sucesión de 21 terremotos en 90 min) causa destrozos en Japón. Se activó la amenaza de Tsunami en la costa occidental del país.",01-01-2024
@CBSNews,"A powerful 7.6 magnitude earthquake struck Japan's west coast near Ishikawa, causing dozens of building to collapse. A tsunami warning has been issued, urging coastal residents in the region to evacuate.",01-01-2024
@mrjeffu,Video: NHK has aired this frightening footage of a building collapsing in Ishikawa during today's earthquake. It registered as 6+ on the JMA Seismic Intensity Scale.,01-01-2024
@jeogaste,"Son Dakika: 2024'ün ilk büyük #deprem i  #Japonya'nin Ishikawa bölgesinde yarım saat önce 7.5 büyüklüğünde çok şiddetli deprem meydana geldi! (2 dk sonra 6.2 büyüklüğünde bir artçı şok oldu) Deprem, Kanazawa ve Toyama gibi yoğun nüfuslu şehirlere yakın #earthquake #japan",01-01-2024
@Rainmaker1973,"An entire bridge detaching from the road.   It happened today at 16:10 local time after an M7.4 earthquake hit the prefectures of Ishikawa, Niigata and Toyama in Central Japan.  [ Yeye36395198]",01-01-2024
@Top_Disaster,"More videos: Destruction aftermath the terrible 7.6 M earthquake hits Kanazawa of Ishikawa Prefecture, Japan   Video: A0xxx_2 (X) TELEGRAM JOIN  http://t.me/Disaster_News",01-01-2024
@MagandangHapon,Tsunami now in Toyama Prefecture! Higher tsunami is expected in Ishikawa Prefecture. Please be safe,01-01-2024
@IndoPac_Info,#Japan Earthquake: Waves recorded breaking over the seawall in Ishikawa prefecture amid Tsunami warning in Japan. Via Insider Paper.,01-01-2024
@AlertaNews24,"| La region de Ishikawa en Japón registró sismo de 7,6 magnitud, generando alertas de tsunami en toda la costa occidental del país.",01-01-2024
@Buritica_news,"| ÚLTIMA HORA  La region de Ishikawa #Japan recibio el 2024, con una sucesion de 21 terremotos, el más poderoso que se registro fue de 7.6 grados, generando alertas de tsunami en toda la costa occidental del país. #earthquake #Terremoto",01-01-2024
@Top_Disaster,"The video footage aftermath the terrible earthquake at shopping mall in Komatsu of Ishikawa, Japan  (01.01.2024)  Video: Picpic Cypcyp TELEGRAM JOIN  https://t.me/Disaster_News",01-01-2024
@greghill,Tsunami warnings are in place for all prefectures with coasts facing the Sea of Japan. Japanese TV urging people to run immediately to higher ground! This is serious. 5m waves expected in Ishikawa. #japan #earthquake,01-01-2024
@EmergenciasEc,"Así amanece la region de Ishikawa en Japón, con más  de 25 terremotos, el más poderoso que se registro fue de 7.6 grados, generando alertas de tsunami en en todo el  país",01-01-2024
@dulcefer12,"Arranca 2024 con un #Terremoto 7.4 en Japón, Ishikawa. A las 16:10 hora local. Hay alerta de tsunami.",01-01-2024
@nexta_tv,,01-01-2024
@UnseenJapanSite,"A major earthquake just hit directly north of Ishikawa Prefecture on the Sea of Japan/East Sea, with shaking measuring at a 7 on the Japanese seismic scale. Areas in Japan's Hokuriku region experienced major shaking. A tsunami warning is now in effect.",01-01-2024
@krassenstein,"It’s not a Happy New Year in Japan, unfortunately, after a MASSIVE 7.6-magnitude AND another 6.2 magnitude earthquake has struck the country.    This has sparked serious Tsunamis warnings up and down the coasts.   The video below is from the coastal town of Uchinada in Ishikawa,",01-01-2024
@IndoPac_Info,"#Japan #Earthquake: Major damage reported in the coastal town of Uchinada in Ishikawa, Japan after 7.4 magnitude earthquake. Via Insider Paper.",01-01-2024
@TheInsiderPaper,"WATCH: Major damage reported in coastal town of Uchinada in Ishikawa, Japan after 7.4 magnitude earthquake",01-01-2024
@WxNB_,BREAKING: Japan Meteorological Agency says a powerful 7.6-magnitude earthquake has struck Ishikawa Prefecture. Credit: HAB,01-01-2024
@TheInsiderPaper,"BREAKING: Video from the local station in Ishikawa prefecture, Japan –extremely powerful shaking amid major earthquake  #earthquake #Japan #Tsunami",01-01-2024
@MarioNawfal,"MASSIVE DAMAGE REPORTED  | SERIES OF 3 EARTHQUAKES HIT JAPAN   7.5, 6.2, and 5.5 magnitude earthquakes hit Anamizu, a coastal town in Ishikawa area of central Japan, home to about 8,000 residents.  Evacuation orders and tsunami warnings issued for the region.  Source: AP",01-01-2024
@SasslaMx,"#ÚltimaHora | Se registra #sismo magnitud 7.4 en la Prefectura de #Ishikawa, #Japón.   Hay alerta de #tsunami local. Se esperan olas de entre 1 y 3 metros de altura.  Información en desarrollo.",01-01-2024
@TheInsiderPaper,BREAKING: Waves recorded breaking over the seawall in Ishikawa prefecture amid Tsunami warning in Japan,01-01-2024
@MarioNawfal,"BREAKING: EVACUATION ORDERS | MASSIVE EARTHQUAKE HITS CENTRAL JAPAN  Immediate evacuation orders issued for the western coastal areas of Niigata, Toyama, and Ishikawa following a 7.6 magnitude earthquake in Ishikawa Prefecture.  Tsunami warnings in effect for the Japan Sea",01-01-2024
@visegrad24,"Damages in the town of Uchinada in Ishikawa, Japan after today’s 7.6 magnitude earthquake",01-01-2024
@GeotechTips,"Un potente terremoto de magnitud 7,6 sacudió la costa oeste de Japón cerca de Ishikawa, provocando el derrumbe de decenas de edificios. Se ha emitido una alerta de tsunami, instando a los residentes costeros de la región a evacuar.   Vía  @CBSNews",01-01-2024
@AreliPaz,Después de las 4 de la tarde hora de Japón un  sismo magnitud 7.4 se registró  en la prefectura de Ishikawa. Hay alerta de tsunami en la zona.,01-01-2024
@NHKWORLD_News,"A massive earthquake has struck Ishikawa Prefecture, central Japan. A tsunami warning has been issued for Niigata, Toyama, Ishikawa prefectures of the Japan Sea side of the country. People in these area must evacuate immediately. https://www3.nhk.or.jp/nhkworld/en/news/…",01-01-2024
@EN_NERV,"Earthquake Flash Report – 1/1 An earthquake occurred at around 4:10pm. The following intensities were measured. [Int. 6+] Ishikawa Noto [Int. 6-] Niigata Chuetsu [Int. 5+] Niigata Jōetsu, Niigata Kaetsu, Niigata Sado, Eastern Toyama, Western Toyama, Ishikawa Kaga, Fukui Reihoku…",01-01-2024
@mrjeffu,Breaking: a very strong earthquake has just hit Ishikawa. I'm on the other side of the country and still felt it. The long length of the shaking reminded me of 3/11.,01-01-2024
@NHKWORLD_News,"A massive magnitude-7.6 earthquake has struck Ishikawa Prefecture, in central Japan, A tsunami warning is now in effect for the prefecture and other prefectures around the region, and officials are urging caution. Visit for updates: https://www3.nhk.or.jp/nhkworld/en/news/backstories/2935/…",01-01-2024
@warabe_show,"！  Today 4：10pm,  There was an with a seismic intensity of ７　in ISHIKAWA Prefecture.  Tsunamis have hit many times, and houses have collapsed,buried alive,the road is collapsing! We may request help and support from people around the world. Sorry",01-01-2024
@harrysugiyama,"Major tsunami alert RIGHT NOW on the coast of Ishikawa. Tsunamis are lethal, they escalate. EVACUATE IMMEDIATELY. Get away from the coast NOW. for english info put on NHK which provides an English subchannel. press the 音声 button!",01-01-2024
@Rainmaker1973,,01-01-2024
@cloverblossoms_,Tsunami warnings are in place for all prefectures with coasts facing the Sea of Japan after a massive magnitude 7.6 earthquake has struck Ishikawa Prefecture.,01-01-2024
@spectatorindex,BREAKING: New earthquake of over 5.0 magnitude in Ishikawa region of Japan,01-01-2024
@NHKWORLD_News,"A massive magnitude-7.6 earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately.",01-01-2024
@NHKWORLD_News,"A massive magnitude-7.6 earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately. An expert warns that strong tremors may continue. Visit for updates:",01-01-2024
@NHKWORLD_News,"A massive magnitude-7.6 earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. https://www3.nhk.or.jp/nhkworld/en/news/20240101_22/…",01-01-2024
@CNBCTV18Live,"#BreakingNews | Tsunami warning issued in Ishikawa Prefecture, Japan, after 7.4 magnitude quake hits Central Japan",01-01-2024
@AbroadInJapan,"A very nasty earthquake on Japan's west coast today.   If you're in the area of Ishikawa Prefecture in particular (Kanazawa city), be aware there's a major tsunami warning of potentially 3-5 meters.  Stay safe and get to high ground if you're along the west coastline between",01-01-2024
@konotaromp,"A massive earthquake has hit Ishikawa Prefecture. A large tsunami warning has been issued for Ishikawa Prefecture. Tsunami warnings were also issued for Niigata, Toyama, Yamagata, Fukui and Hyogo prefectures on the Japan Sea coast.",01-01-2024
@NHKWORLD_News,"A massive magnitude-7.6 earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately. For updates, visit:",01-01-2024
@NHKWORLD_News,"A massive magnitude-7.6 earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately. Visit for updates:",01-01-2024
@NHKWORLD_News,Officials of Ishikawa Prefecture's Suzu City say they have confirmed several houses and power poles have collapsed following a magnitude 7.4 quake Monday afternoon.  https://www3.nhk.or.jp/nhkworld/en/news/20240101_18/…,01-01-2024
@record_mexico,"¡MUCHA FUERZA!   Tras transcurrir las primeras horas del 2024 a las 16:10 horas (hora local), un fuerte terremoto sacudió toda la costa de Ishikawa, lugar del epicentro.   Aquí los detalles: https://bit.ly/41KCCLC",01-01-2024
@dw_espanol,"Alerta de Tsunami en Japón  Las autoridades japonesas piden a la población evacuar toda la costa occidental por una serie de fuertes terremotos, con uno de 7,4 grados en Ishikawa incluido (lgc)  https://p.dw.com/p/4alAa Haga clic  para más información",01-01-2024
@lopezdoriga,"Terremoto magnitud 7.6 golpeó la prefectura de Ishikawa, en el litoral occidental de Japón, y activó una alerta por tsunami en buena parte del archipiélago, además de causar importantes daños y dejar sepultadas al menos a seis personas bajo los escombros",01-01-2024
@FreeAll_protest,"Electric poles are falling as earthquake warning alerts ring out in the Noto region of Ishikawa Prefecture, Japan. seismic intensity 7 在日本石川縣能登地區地震警戒警報響起的情況下，電線桿正在倒塌。烈度七",01-01-2024
@RochexRB27,"#JAPÓN #URGENTE | Imágenes de como se percibió el sismo de magnitud 7.6 que se registró en la región Noto, Prefectura de Ishikawa. Hay alerta de tsunami. #RochexRB27   #earthquake #Terremoto #Temblor #Japan",01-01-2024
@RochexRB27,"#URGENTE | #Sismo de magnitud 7.6 sacude la costa de Japón.  El movimiento telúrico se registró en la región Noto, Prefectura de Ishikawa.  #earthquake #Terremoto #Temblor #Japan",01-01-2024
@CarolineCoramUK,"Significant repeating earthquake activity in the Noto Ishikawa region of Japan  One of our trackers Calamity Jane on Sky&Earth has been picking up continued high levels of gridding over Japan for the last month, possibly longer.  This has largely been in this central Japan area",01-01-2024
@waccawheels,"[ONGOING EARTHQUAKE/TSUNAMI IN NOTO REGION, JAPAN] Earthquake may recur for several days, can become stronger. Tsunami on the west coast (Sea of Japan/East Sea of Korea) reaches QUICKLY. Please be alert and MILES AWAY from the ocean and river mouths if you're in the region.",01-01-2024
@odishabhaskar,Japan Downgrades ‘Major Tsunami Warning’ To ‘Tsunami Warning’ For Noto Region https://odishabhaskar.in/breaking/japan-downgrades-major-tsunami-warning-to-tsunami-warning-for-noto-region-65117/…  #Japan #Tsunami #Earthquake #Ishikawa #JapanTsunami #JapanEarthquake #SeismicActivity #Russia #Korea #BreakingNews #Sismo #NotoRegion,01-01-2024
@UHN_Plus,,01-01-2024
@notimundoec,"#URGENTE | Un terremoto de magnitud 7.6 sacudió este 1 de enero a Japón. El epicentro se registró en la península de Noto. En varios sectores del país se emitió la alerta de tsunami, y se registran cortes de energía.",01-01-2024
@KidNqv,"Around 4:10 PM on the 1st, a powerful earthquake with a maximum intensity of 7 was observed in Ishikawa Prefecture. According to the Japan Meteorological Agency, the epicenter was in the Noto region of Ishikawa Prefecture, with an extremely shallow depth. The magnitude of the",01-01-2024
@FREEDOMWWGIWGA,"A 7.6 magnitude earthquake in Japan generated a tsunami, power outages and landslides that left people trapped   There were 21 earthquakes in 90 minutes and the strongest had its epicenter in Noto, in Ishikawa.  They caused fires and massive power outages,",01-01-2024
@rumireports,The owner of a sake brewery near the epicenter of the Ishikawa earthquake shows collapsed buildings nearby. Can hear her hoping to salvage any of the remaining sake.    Kimana Seiko of Matsunami Sake Brewery in Noto. Verified via Storyful,01-01-2024
@t_k_happiness,"At around 4:10 pm today, there was a strong earthquake with its epicenter in the Noto region of Ishikawa Prefecture. The depth of the epicenter is extremely shallow, and the magnitude, which indicates the scale of the earthquake, is estimated to be 7.6.",01-01-2024
@shahinu_r,"Serious damage was reported in Noto, a town near the epicenter.  #earthquake #Ishikawa #Japan",01-01-2024
@ASUVARNA66,"A video capturing the earthquake's impact in Nagano, despite the epicenter being quite distant from the Noto peninsula where the earthquake struck today.  #Japan #Tsunami #NewYear2024  #earthquake",01-01-2024
