Location,Frequency,Latitude,Longitude
Haga,1,52.07494555,4.2696802205364515
Hakui,1,36.8948225,136.7782938
Nintendo,8,51.1113832,17.0197563
Hanshin-Awaji,1,34.5502583,134.9383528
Hamper,1,45.7960135,15.9602917
Nebuta,2,40.82957225,140.735946000367
Agencia,2,24.3230165,-99.90579905592853
difficult -,1,36.369222,-85.8922059
Wajima,38,37.3905644,136.8994281
Ishikawa,185,36.9890574,136.8162839
Aqui,1,59.3388631,18.0613931
Soka,2,35.8262233,139.8061784
Tonga,1,-19.9160819,-175.202642
Honshu,1,37.4902775,139.83574307277243
Nan-yo,1,38.055081,140.1481134
Alerta,3,-11.6998406,-69.199206
Kakuda,1,37.9770215,140.7820521
Nankai,1,39.1370055,117.1439502
Shinkansen,2,38.31398835,140.96878516975048
Speed,1,39.676799,-99.42004413003096
Gakkai,2,22.327190549999997,114.17542480896839
Isla,1,35.887175,14.517307
Sakamichi,1,38.7471125,140.7199985
hari,1,46.3647399,23.9803393
Gate,1,26.0198133,10.4339911
Nuevo,2,33.8020715,-117.1460868
Noto Satoyama,1,37.2813878,136.9274259
Illuminati,1,49.477954,-117.351406
Date,4,42.4720144,140.8647245
Allen,2,36.7528961,-86.1924103
Takahashi,1,34.7908975,133.6169111
Turkmenistan,1,39.3763807,59.3924609
Ukraine,1,49.4871968,31.2718321
Andy,2,29.6423979,-81.8510137
Gabriel,3,-4.7999499,-40.0250817
Nanao,18,37.0521078,136.946461
Ahora,3,39.7752584,44.3786842
", Son",1,29.3333331,-110.6666671
Off,1,41.1183758,-95.9101309
Nuevos,3,42.0256124,-0.5796172
Naruhito,4,-23.2985714,-45.9374768
Hiromu,1,-23.4741245,-51.8061074
Gyoda,1,36.1386052,139.4559001
Hokuriku Region,1,36.5678047,136.6543387
Hyogo,1,34.914934,134.860666
Akita,1,39.6898802,140.342608
ishikawa,2,36.9890574,136.8162839
Satoko,2,52.0889635,4.3899944
Yahoo,3,44.0239201,-71.9721168
Akiko,2,-34.5585939,-58.4579224
Yuki,1,36.3052945,139.8771403
Nahel,1,33.07168205,35.09433912725878
Yoshimasa,1,-23.2811655,-51.2008896
Investigate,1,55.07630585,-1.5927209275772167
Japon Se,1,59.2957239,18.0539039
Hats,1,51.72431005,-5.607208217538722
Prefectura,3,47.6581365,-2.7538126598043675
David,1,8.4371469,-82.4286281
Suno,1,45.633369,8.54283
Palette,1,46.1128,10.7077
English-language,1,-33.848659600000005,150.91484593108348
Alli,1,2.5656022,30.8407804
earthquake -,1,51.177617749999996,-4.675986232144825
Associate,1,51.0399309,16.7536913
Saitama,1,35.9754168,139.4160114
Isnin,1,2.0372113,102.5805487
Cross,1,35.3001216,-90.7750181
Arigato,1,52.3784859,4.8793344
Semenanjung,2,39.8963997,-4.49743657062888
e-book,1,47.6557637,-122.3050334
Fault,1,39.5918667,-118.1845551
Yamamura,1,-23.6688036,-46.5386957
Masako,3,55.5043158,38.0353929
Noto region,115,36.8908864,15.0706454
Nakabayashi,1,35.70117895,139.78408435
Earthquake - km,6,36.11096645,-81.30007665593382
Guang,1,3.1301021,101.6709647
Japan - where,1,35.6447403,139.7421431
Kanazawa,21,36.561627,136.6568822
Anamizu,9,37.2305548,136.9125817
Miyagi,2,38.3880155,140.9761025
Liu,1,46.404711,11.019271
Almost,1,41.1843841,-74.1712231
Noto,672,36.8908864,15.0706454
Seiji,2,-34.74789595,-56.140551274104666
Ishikawa Pref,8,36.5584649,136.6624243
Okunoto region,1,37.5291193,137.2719209
Japan-based,1,35.6874645,139.6996558
Hanyu,48,36.1724023,139.5484797
Fumio,1,35.8378688,139.9017617
Yamagata,1,38.4746705,140.083237
Chang,2,6.3421516,10.4562706
Hokuriku region,2,36.5678047,136.6543387
Kotohira,1,34.191594,133.8232497
Yuzu,4,33.6412309,135.69056298424317
Tanaka,1,-8.0855067,112.4986927
Aiji,1,26.2540493,29.2675469
Sapporo,1,43.061936,141.3542924
Yuzuru,16,42.984203949999994,141.45853244999998
Nagashima,1,32.183459,130.166311
Eitan,1,31.5728416,34.7487221
Sake,4,-2.2327477,30.417865
Ehime Prefecture,1,33.6013646,132.8185275
Hideaki,1,-21.1422484,-44.2246786
Zama,1,35.499205,139.420453
Instituto,1,38.3767821,-0.4192169
Kanagawa Pref,2,35.4473544,139.6416345
Loreto,1,-5.0,-75.0
Himi City,1,36.85915125,136.9873297
