location,latitude,longitude
Nagoya,35.18147,136.90641
Islamic Republic of Afghanistan,33,66
Luanda Province,-8.91667,13.33924
Republic of Angola,-12.5,18.5
Provincia de Buenos Aires,-36,-60
Argentine Republic,-34,-64
Republic of Austria,47.33333,13.33333
Commonwealth of Australia,-25,135
State of Victoria,-37,145
State of New South Wales,-33,146
Republic of Azerbaijan,40.5,47.5
Bangladesh,24,90
Rajshahi Division,25,89
Mymensingh,24.75,90.4
Dhaka,23.81093,90.36542
Dhaka Division,23.83333,90.25
Comilla,23.4417,91.00987
Chittagong,22.4875,91.96333
Chittagong,22.91667,91.5
Khulna Division,22.91667,89.33333
Barisal Division,22.5,90.33333
Sylhet Division,24.66667,91.66667
Rangpur Division,25.83333,89
Mymensingh Division,24.72937,90.38109
Kingdom of Belgium,50.75,4.5
Flanders,51,4.5
Burkina Faso,12.5,-1.66667
Republic of Bulgaria,42.66667,25.25
Republic of Burundi,-3.5,30
Republic of Benin,9.5,2.25
Plurinational State of Bolivia,-17,-65
Pernambuco,-8.33333,-37.75
Para,-4,-53
Maranhao,-5,-45
Ceara,-5,-39.5
Sao Paulo,-22,-49
Santa Catarina,-27,-50
Rio Grande do Sul,-30,-53.5
Rio de Janeiro,-22.25,-42.5
Parana,-24.5,-51.33333
Minas Gerais,-18,-44
Goias,-15.58071,-49.63623
Federative Republic of Brazil,-10,-55
Bahia,-12,-42
Rio De Janeiro,-22.92008,-43.33069
Sao Paulo,-23.62703,-46.63503
Brest Oblast,52.09976,23.7854
Republic of Belarus,53,28
Ontario,49.25014,-84.49983
Quebec,52.00017,-71.99907
Canada,60.10867,-113.64258
Democratic Republic of the Congo,-2.5,23.5
Katanga Province,-9,26
Province du Kasai Oriental,-6.18333,23.51667
Orientale Province,2.5,27
Province de l'Equateur,0.2,18.93333
Bandundu Province,-4,18
Switzerland,47.00016,8.01427
Republic of Cote d'Ivoire,8,-5.5
Region Metropolitana de Santiago,-33.47269,-70.64724
Republic of Chile,-30,-71
Republic of Cameroon,6,12.5
Qinghai Sheng,36,96
Xinjiang Uygur Zizhiqu,41.5,85.5
Zhejiang Sheng,29.16667,120
Yunnan Sheng,25,101.5
Yueyang Shi,29.32472,113.302
Xiangyang,32.00429,112.12132
Tianjin Shi,39.33333,117.33333
Sichuan Sheng,30.5,102.66667
Shenzhen,22.55653,113.9859
Shanxi Sheng,37.66667,112.25
Shanghai Shi,31.16667,121.41667
Shandong Sheng,36.33333,118.25
Shaanxi,36,109
Ningxia Huizu Zizhiqu,37.25,106
Jiangxi Sheng,27.66667,115.66667
Jiangsu Sheng,33,119.83333
Hunan Sheng,27.66667,111.75
Hubei Sheng,31,112.25
Henan Sheng,34,113.66667
Hebei Sheng,39,115.66667
Hainan Sheng,19.25,109.75
Guizhou Sheng,27,107
Guangzhou Shi,23.37327,113.51219
Guangxi Zhuangzu Zizhiqu,24,109
Guangdong Sheng,23.5,113.25
Ganzhou Shi,25.70387,115.34822
Gansu Sheng,37.75,102.75
Fujian Sheng,26.25,118
Foshan Shi,23.02264,112.96302
Chongqing Shi,30.08333,107.83333
People's Republic of China,35,105
Anhui Sheng,31.91667,117.16667
Banan Qu,29.37079,106.73456
Inner Mongolia Autonomous Region,43.5,114.75
Liaoning Sheng,41.25,122.66667
Jilin Sheng,43.58333,126.16667
Heilongjiang Sheng,47.75,128
Beijing Shi,39.91691,116.39706
Yongzhou,26.44014,111.6029
Republic of Colombia,4,-73.25
Distrito Capital de Bogota,4.25,-74.18333
Departamento de Antioquia,7,-75.5
Bogota  D.C.,4.31465,-74.18077
Serbia and Montenegro,44.8174,20.46341
Republic of Cuba,22,-79.5
Czechia,49.75,15
Nordrhein-Westfalen,51.21895,6.76339
Lower Saxony,52.83333,9.16667
Hessen,50.55,9
Federal Republic of Germany,51.5,10.5
Regierungsbezirk Dusseldorf,51.4,6.6
Bavaria,49,11.5
Baden-Wuerttemberg Region,48.5,9
Kingdom of Denmark,56,10
Dominican Republic,19,-70.66667
People's Democratic Republic of Algeria,28,3
Republic of Ecuador,-1.25,-78.25
Arab Republic of Egypt,27,30
Muhafazat ash Sharqiyah,30.7,31.8
Cairo Governorate,30.05,31.65
Muhafazat al Minya,28.1,30
Muhafazat ad Daqahliyah,31.1,31.6
State of Eritrea,15,39
Kingdom of Spain,40,-4
Andalucia,37.6,-4.5
Comunitat Valenciana,39.5,-0.75
Comunidad de Madrid,40.42526,-3.69063
Provincia de Barcelona,41.66667,2
Catalunya,41.82046,1.86768
Provincia de Madrid,40.40225,-3.71029
Federal Democratic Republic of Ethiopia,9,39.5
Amhara Region,11.5,38.5
Oromiya Region,8,39
Somali Region,7,44
Southern Nations; Nationalities; and People's Region,6.05862,36.7273
Republic of Finland,64,26
Rhone-Alpes,45.5,5.33333
Ile-de-France,48.7,2.5
Republic of France,46,2
Nouvelle-Aquitaine,46.09165,1.26892
Grand-Est,48.69821,5.8667
Occitanie,44.02722,1.63559
Hauts-de-France,49.61232,2.65594
Auvergne-Rhone-Alpes,45.482,5.37437
Scotland,56,-4
England,52.16045,-0.70312
Republic of Ghana,8.1,-1.2
Republic of Guinea,10.83333,-10.66667
Hellenic Republic,39,22
Republic of Guatemala,15.5,-90.25
Hong Kong Special Administrative Region,22.25,114.16667
Republic of Honduras,15,-86.5
Republic of Haiti,19,-72.41667
Hungary,47,20
Sumatera Utara,2,99
Sumatera Selatan,-2.75,103.83333
Provinsi Sumatera Barat,-1,100.5
Provinsi Sulawesi Selatan,-4.33333,120.25
Provinsi Riau,0.5005,101.749
Jawa Timur,-7.7394,112.5099
Provinsi Jawa Tengah,-7.5,110
Jawa Barat,-6.75,107.5
Daerah Khusus Ibukota Jakarta,-6.2182,106.8584
Republic of Indonesia,-5,120
Banten,-6.5,106.25
State of Israel,31.5,34.75
West Bengal,24,88
Uttar Pradesh,27.25,80.75
Thane,19.33333,73.25
Telangana,17.83333,79.08333
State of Tamil Nadu,11,78.33333
Surat,21.17801,72.81189
State of Rajasthan,26.58333,73.83333
Purba Champaran,26.58333,84.83333
State of Punjab,30.91667,75.41667
Patna,25.41667,85.16667
State of Odisha,20.5,84.41667
Nadia,23.25,88.5
State of Maharashtra,19.5,76
Madhya Pradesh,23.5,78.5
State of Kerala,10.41667,76.5
State of Karnataka,14.66667,75.83333
State of Jammu and Kashmir,33.91667,76.66667
Jaipur,27,76
Republic of India,22,79
Hugli,22.82893,88.20099
State of Himachal Pradesh,31.91667,77.25
State of Haryana,29.25,76.33333
State of Gujarat,23,71.75
Mumbai Suburban,19.12636,72.84897
East Godavari,17.83333,81.83333
National Capital Territory of Delhi,28.6667,77.1
State of Bihar,25.75,85.75
Barddhaman,23.25,87.75
Bangalore Urban,13,77.58333
Assam,26,93
State of Andhra Pradesh,15.83333,79.75
Allahabad,25.42012,81.88385
Ahmadabad,23.03,72.58
State of Chhattisgarh,21.5,82
State of Jharkhand,23.75,85.5
State of Uttarakhand,30.25,79.25
Rangareddi,17.27883,78.16844
Murshidabad,24.1,88.25
Nashik Division,19.98295,73.78942
Pune Division,18.74673,73.75465
South 24 Parganas,22.16197,88.4317
Paschim Medinipur,22.40813,87.38107
Purba Medinipur,21.93732,87.77633
North 24 Parganas,22.71,88.7108
Republic of Iraq,33,44
Ostan-e Tehran,35.66667,51.41667
Islamic Republic of Iran,32,53
Ostan-e Khorasan-e Razavi,35.25,59
Sicilia,37.75,14.25
Lombardia,45.66667,9.5
Lazio,42.07762,12.77878
Repubblica Italiana,42.83333,12.83333
Campania,40.91056,14.92053
Hashemite Kingdom of Jordan,31,36
Tokyo Prefecture,35.6895,139.69171
Saitama-ken,35.85721,139.64904
Osaka-fu,34.68631,135.51968
Kanagawa,35.41667,139.33333
Fukuoka Prefecture,33.52813,130.66472
Aichi-ken,35.18017,136.90656
Chiba-ken,35.60506,140.12333
Hokkaido,43.06451,141.3466
Republic of Kenya,1,38
Rift Valley Province,0.5,36
Kyrgyz Republic,41.5,75
Kingdom of Cambodia,13,105
Democratic People's Republic of Korea,40,127
Republic of Korea,36.5,127.75
Seoul,37.58333,127
Gyeonggi-do,37.6,127.25
Republic of Kazakhstan,48,68
Lao People's Democratic Republic,18,105
Western Province,6.83333,80.08333
Democratic Socialist Republic of Sri Lanka,7.75,80.75
Libya,28,17
Kingdom of Morocco,32,-6
Casablanca-Settat,33.47804,-7.43225
Republic of Madagascar,-20,47
Antananarivo Province,-18.75,46.75
Republic of Mali,18,-2
Shan State,22,98
Sagaing Region,23.5,95.5
Yangon Region,17,96.16667
Bago Region,18.25,96.25
Mandalay Region,21,96
Ayeyawady Region,17,95
Union of Burma,21,96
Southern Region,-15.5,35
Republic of Malawi,-13.5,34
Estado de Veracruz-Llave,19.33333,-96.66667
Estado de Puebla,18.75,-97.91667
Estado de Mexico,19.36667,-99.66667
Ciudad de Mexico,19.28333,-99.13333
Mexico,23,-102
Estado de Jalisco,20.33333,-103.66667
Selangor,3.16667,101.5
Malaysia,2.5,112.5
Republic of Mozambique,-18.25,35
Republic of Niger,18,9
Rivers State,4.74974,6.82766
Oyo State,8,4
Federal Republic of Nigeria,10,8
Lagos State,6.53774,3.3522
Katsina State,12.25,7.5
Kano State,11.5,8.5
Kaduna State,10.33333,7.75
Benue State,7.33333,8.75
Republic of Nicaragua,13,-85
Kingdom of the Netherlands,52.25,5.75
Kingdom of Norway,62,10
Federal Democratic Republic of Nepal,28,84
Madhyamanchal,27.45436,85.22301
Purwanchal,27.23998,87.14802
Republic of Peru,-10,-75.25
Provincia de Lima,-12,-76.83333
Lima,-11.85,-76.45
Independent State of Papua New Guinea,-6,147
Republic of the Philippines,13,122
Calabarzon,14.31,121.09
Western Visayas,11.13,122.53
Central Luzon,15.30714,120.79762
Central Visayas,10.35815,123.87085
Bicol,13.31389,123.56389
National Capital Region,14.57775,121.04599
Sindh,26.13456,68.7696
Punjab,30.86017,72.31976
Islamic Republic of Pakistan,30,70
Khyber Pakhtunkhwa Province,34.45993,72.50237
Balochistan,28.47849,65.64355
Wojewodztwo Mazowieckie,52.23011,21.01118
Republic of Poland,52,20
Wojewodztwo Mazowieckie,52.36667,21.1
Portuguese Republic,39.6945,-8.13057
Republic of Paraguay,-23.33333,-58
Romania,46,25
Serbia,44.81892,20.45998
Moskva,55.76167,37.60667
Moscow Oblast,55.75,37.5
Krasnodarskiy Kray,44.98811,38.97675
Russian Federation,60,100
Republic of Rwanda,-2,30
Kingdom of Saudi Arabia,25,45
Makkah Province,21.62425,41.20422
Mintaqat ar Riyad,23.05,45.55
Republic of the Sudan,16,30
Khartoum,15.8,33
Kingdom of Sweden,62,15
Slovak Republic,48.66667,19.5
Republic of Sierra Leone,8.5,-11.5
Republic of Senegal,14.5,-14.25
Somalia,6,48
South Sudan,7.5,30
Republic of El Salvador,13.83333,-88.91667
Syrian Arab Republic,35,38
Republic of Chad,15,19
Togolese Republic,8.66667,1.08333
Kingdom of Thailand,15.5,101
Bangkok,13.87719,100.71991
Republic of Tajikistan,39,71
Republic of Tunisia,34,9
Republic of Turkey,39,35
Ankara,39.92063,32.85403
Istanbul,41.03508,28.98331
Taiwan,24,121
United Republic of Tanzania,-6,35
Ukraine,49,32
Republic of Uganda,1.25,32.5
Central Region,0.5,32
Eastern Region,0.96675,33.82622
Northern Region,2.7373,31.88644
Western Region,-0.61179,30.55573
Florida,28.75054,-82.5001
North Carolina,35.50069,-80.00032
Tennessee,35.75035,-86.25027
Cook County,41.8954,-87.64616
Illinois,40.00032,-89.25037
Indiana,40.00032,-86.25027
Minnesota,46.25024,-94.25055
New Jersey,40.16706,-74.49987
New York,43.00035,-75.4999
Wisconsin,44.50024,-90.00041
California,37.25022,-119.75126
Los Angeles County,34.19801,-118.26102
Washington,47.50012,-120.50147
United States,39.76,-98.5
Massachusetts,42.36565,-71.10832
Pennsylvania,40.27245,-76.90567
Virginia,37.54812,-77.44675
City of New York,40.66393,-73.93827
Republic of Uzbekistan,41.66667,63.83333
Bolivarian Republic of Venezuela,8,-66
Socialist Republic of Vietnam,16.16667,107.83333
Ho Chi Minh City,10.82327,106.62978
Thanh Pho Ha Noi,21,105.75
Republic of Yemen,15.5,47.5
Republic of South Africa,-29,24
Province of KwaZulu-Natal,-29,30
Eastern Cape,-32,26
Gauteng,-26.08333,28.25
Limpopo,-24,29.5
Republic of Zambia,-14.33333,28.5
Republic of Zimbabwe,-19,29.75
