,text
31,the #earthquake killed more than 300 and wounded thousands in Kurdish region in #Iran &amp; #Iraq #BBCNews https://t.co/BozTlqs7fJ
35,"Iran-Iraq Border Earthquake Death Toll Tops 200, Officials Say https://t.co/rMxeWOnb4H https://t.co/0TTlpqwMsr"
36,New #Earthquake. ἰE 4.4 - 44km E of #Kifri - #Iraq. 2017/11/13 08:29:01. #Temblor #Sismo #USGS #alert https://t.co/WagKP6kkTU
37,"Pakistan condoles with Iran, Iraq on devastating earthquake https://t.co/8uJ9F6AX97 https://t.co/Kaj8dfIfDO"
38,RT @imranbird: #Earthquake in #kuwait. Everyone is standing outside. https://t.co/WolwXLvzh3
39,#Heartbreaking Earthquake between border Iran &amp; Iraq RIP ὤF #earthquake #زلزلە Photo: Rudaw https://t.co/TJT8iS1QY1
42,"Atleast 207 Dead, Thousands Injured As 7.3-Magnitude Earthquake Hits Northern Border Region… https://t.co/8RVoot4B4Y https://t.co/glpJfPj0n7"
43,"7.3 earthquake kills at least 160 in Iran, government says https://t.co/pYZ91c73Hm https://t.co/mZ4TjNG36v"
44,RT @akifinam: Press Release by @MFATurkey regarding the earthquake in #Iraq. #Halabja #Sulaimani https://t.co/X4yd3hbPi0
45,RT @Lee_Saks: #Iraq #Iran 7.2 earthquake major oil fields map. no damages reported yet. #OOTT https://t.co/aOnfPaawMW
46,"1st Turkish earthquake emergency plane has landed in Sulaymaniyah, Iraq https://t.co/syj5ErH9WP"
47,RT @RudawEnglish: Material damages captured by Rudaw English's managing editor @OsamaGolpy in #Halabja #earthquake https://t.co/6MaFWai7Vb
48,RT @TimesofIsrael: Israel rattled as 7.2-magnitude earthquake strikes northeast Iraq https://t.co/RUxTDHMfWW https://t.co/DUbgtHtPCb
49,#Iran's Army is deployed in the region to help the relief forces to find trapped earthquake victims #iranEarthquake https://t.co/JEj9n8bhZs
50,"Commanders of #IRGC, #Iran's Army visit #earthquake areas in Western Iran. https://t.co/6dOdulWQRf"
51,Iraq earthquake caught on camera during live TV interview [Video] https://t.co/wTZQflW7mn https://t.co/xaKdVZbDNH
52,"Earthquake hits Iraq near border with Iran, several killed in both countries https://t.co/5iZy0jClah https://t.co/hcKUJntKrp"
53,Remarkable that there are accurate figures for loss of life in the Iran/Iraq earthquake. https://t.co/YZSsb3mtRu
54,"Iraq-Iran earthquake: From Bhuj to Haiti, the deadliest quakes of this century | world-news https://t.co/MiFhFFACvJ https://t.co/ztbs4sn3us"
55,RT @TomHall: #Breaking: Giant 7.2 #Earthquake hits Iraq ἞E἟6 #SundayMorning https://t.co/OargVOvsTu
58,RT @TruTawar: More photos: #Earthquake at #Kurdistan -- photos belong to Kurdistan Iran cities and villages https://t.co/ADwBFo7yax
62,No Kyrgyzstanis among victims of #earthquake in #Iran https://t.co/eNTqG5WNZ0 https://t.co/LBP7OsXK1S
63,RT @PressTV: Dozens rushed to hospitals in #Kermanshah after strong #earthquake hit western #Iran https://t.co/frRl7FfhQO
64,RT @PressTV: In pictures: Aftermath of 7.3 #earthquake that struck Iran-Iraq Border https://t.co/rADMPjBF9O
68,Moment deadly earthquake rocked Iraq &amp; Iran caught on VIDEO - https://t.co/tqDr0PvI2k https://t.co/H9mD0ElLHF
69,RT @ssilvia13: Shaking all over the Middle East! Also in #Dubai #Earthquake #Iran #iraq https://t.co/XCkK4OAO02
70,"Powerful Earthquake Rocks Iraq And Iran, Leaving More Than 130 Dead https://t.co/t2HHbufTgE https://t.co/zbhRUsgTFw"
71,"Aftermath of earthquake in Iran, Iraq (Photos, Video) https://t.co/Q4Itc3yGkV #breakingnews https://t.co/cgPqhnEelH"
72,Iran earthquake damage video: Horror aftermath as fears grow for Iraq after deadly quake https://t.co/uwJxqeZ37k https://t.co/pDhPdVGu1s
73,Bahraini citizens in Iraq are safe #Bahrain #Iraq #earthquake https://t.co/HDV3KIucf9 https://t.co/n82HWZqb1V
74,My prayer and thought with families of #earthquake victims #Iran #Kermanshah #Sar_pol_Zahab https://t.co/w1nc9FNBcD
75,#Azerbaijan offers assistance to #Iran after earthquake - Iranian envoy - https://t.co/80W0SovNmb https://t.co/qa0ClCquPs
76,#Blood donation lines in #Tehran to help #earthquake survivors in west of #Iran. https://t.co/wW3eEAAgER
80,Turkey will stand with earthquake victims of northern Iraq: PM https://t.co/Kj5KhrUVsl https://t.co/GUIQoVuqU5
81,Putin expressed his condolences to President of Iran because of the earthquake: https://t.co/4hwqdJtoBD https://t.co/iayi92AXv6 #Russia
82,Iran-Iraq earthquake: Deadly tremor hits border region - BBC News - https://t.co/XZRdpYwC2a playback is unsupport... https://t.co/x4fU5zJB1l
83,"#Iran's #president, @HassanRouhani will visit #kermanshah, efected by sunday night #earthquake, Tuesday morning. https://t.co/EdfD22FXBp"
85,RT @ALadyInKuwait: The Do’s and Don’ts during the earthquake #هزه_ارضيه_بالكويت #kuwait https://t.co/VQ69m4M9uQ
86,RT @meteorologo777: URGENT-FLASH: Huge #earthquake between #Iraq and #Iran. Preliminary magnitude 7.4! https://t.co/Bs5f1AL0aX
87,#BreakingNews Death toll from 7.3-magnitude #earthquake at #Iran #Iraq border now stands at 330 #Kurdistan https://t.co/vSF8LAEZQo
88,Powerful Earthquake Hits Iran-Iraq: Most Devastating Pictures https://t.co/dWobt4lbQY https://t.co/UdJYSo8MmL
89,TV channel live on air during Iraq-Iran earthquake – BBC News https://t.co/46uDqLJDZl #NewInVids https://t.co/K8oB7oRfCd
90,"Finally, after death toll shoots up to 300, Iran-Iraq earthquake gets some media attention. https://t.co/tnZiXnODaB https://t.co/LZSouYmdEl"
91,Israelis Report Feeling Iran Earthquake; No Local Injuries or Damage - https://t.co/ZCl8kZ7Y09 https://t.co/sFbZV1OnZP
92,Chairman #PPP @BBhuttoZardari expressed concern over the human loss in Iran earthquake. https://t.co/JGfv4bUvtN
93,"Richter 7 earthquake in Iran and specially Kermanshah Province, condolences to the Iranian people, God help you ὢDὢDὤFὤF https://t.co/D7405qsLfl"
96,RT @VOANews: Deadly Earthquake Strikes Iran-Iraq Border https://t.co/WDSkalOrLj https://t.co/rBxqCpHoYb
97,Trying to find info re U.S. troops &amp; personnel operating in/around Iran-Iraq earthquake region - nothing so far. ὡF https://t.co/oVr78gueb1
98,#Algeria Iran-Iraq earthquake: What happened and why https://t.co/qkOv4wjav9 #الجزائر https://t.co/Ocn1BaJjYF
99,Resettlment of people in sports fields of #Kermanshah regard 7.3 #earthquake in west of #Iran. https://t.co/uUZ99PfCb7
100,Iran-Iraq border earthquake live updates: Death toll crosses #TISNews Click Link- https://t.co/pqMmIrT93i https://t.co/NqM72HpUuh
101,"RT @TheNewYorkBlvd: Earthquake with a Magnitude of 7.2 Just struck Halabjah, Iraq #PrayForIraq https://t.co/CwJ9bPDp17"
102,"#Iran: Initial Reports, at Least 61 Dead, 300 Injured From #earthquake https://t.co/kE2EIPgmmM … https://t.co/23Bm9gIY2g"
103,We offer our sincere Condolences ὡ4 #Iran #earthquake #destruction #condolences #pray_for_iran #PrayForIran https://t.co/je8jA98yTy
104,Please accept my heartfelt sympathy on the passing of your dears #earthquake#kermanshah#Iran https://t.co/canDwXAvK5
105,UPDATED: 300 people die in earthquake between Iran and Iraq - https://t.co/M7tMarjG6t https://t.co/Ms78k0WcMJ
106,Iran-Iraq Border Earthquake Over 300 People Have Died https://t.co/MjMDrbBZ7J Mavelworld https://t.co/D2UpzFS727
107,Earthquake in #Iran: - 341 were killed - 4000 were wounded https://t.co/8d4UqHBy7k
108,"Donald Trump, Iran Earthquake, N.F.L.: Your Monday Briefing by CHRIS STANFORD via NYT https://t.co/yMexMHQiMn https://t.co/Vv1S1LYTcm"
109,Pics from Iran 204 person killed &amp; 1600 injured by #earthquake yesterday #زلزال_إيران https://t.co/gOAvZmB8fw
112,"follow me - Donald Trump, Iran Earthquake, N.F.L.: Your Monday Briefing https://t.co/TMjyGXtyUS - followforfollow https://t.co/Hl0giplT13"
113,Tragedy.....earthquake in iran https://t.co/EG66zm0qUO
114,Iran-Iraq earthquake: Here's what we know https://t.co/cDaNNeir0D https://t.co/gE4PIqBKP8
116,Photos: Powerful Iran-Iraq earthquake kills hundreds https://t.co/h6p6wmWdwz https://t.co/rUhCRrXC3e
117,Interesting 'coincidence' that the earthquake took place exactly on the artificial man-made border of Iraq and Iran! https://t.co/yWfkmPOkCF
118,"#News via #FOXNEWS ""Massive earthquake leaves over 300 dead in Iraq-Iran"" https://t.co/X0JyeVet9r https://t.co/N6peehBru7"
119,Earthquake In Iraq Iran Border Live Updates Death Toll Injured All Updates | LIVE: ईरान-इराक बॉर्डर पर 7.2 तीव्रत... https://t.co/JySSrAJMCH
120,Sunday evening a earthquake west of Iran. Many people lost their lives. https://t.co/o9TWvoQHAF
121,Queue of #Blood_Donation after the destructive #Earthquake #Iran #Sympathy https://t.co/SOCMiSwMW1
122,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG
123,7.3 magnitude earthquake dkt Iraq-Iran border. Hope everything will be fine https://t.co/XbMdCgKwSl
124,Seismograms from yesterday’s #earthquake on the #Iran / #Iraq border @BGSseismology https://t.co/ddEVHqQI4c
125,"Earthquake rocks border area between Iraq, Iran https://t.co/yzPXlmU71z #USNews #USRC https://t.co/oVYBd8qK1S"
126,but some ppl have their own tragic ways to show their sympathy with victims of #iran #iraq border #earthquake https://t.co/dZRyNTjMGG
130,"#News via #FOXNEWS ""Iran-Iraq earthquake kills hundreds, officials say"" https://t.co/pgRYm9BRKi https://t.co/J3NtUw2SNr"
131,Some #pictures from #earthquake #Iran-Iraq border in Kermanshah shows different #damages. https://t.co/9jSv3o9QE9
135,Iran Iraq earthquake pictures show devastating damage as villages cut off by landslides | The Locus ... https://t.co/AcFSi8acFl
136,7.3 Magnitude Earthquake Kills Hundreds in Middle East https://t.co/EvGKRkkel7 https://t.co/ECpkWQWvls
137,"Iran-Iraq earthquake kills a whole bunch, officers say https://t.co/OP1an6JfP3 https://t.co/sM0Tssrrg5"
138,RT @ClimateRealists: Breaking: Coronal Hole Update: Major M7.2 Earthquake Hits Iraq.. more to follow https://t.co/HAnzxdgFMM
139,More than 300 killed after powerful quake on Iran-Iraq border https://t.co/SNyFeb6aCc https://t.co/naS0VZM2se
140,Some of the disgusting top comments on Fox News' post about the Iran earthquake that has killed over 200 people https://t.co/1WGzyUXzu2
141,"Iran-Iraq earthquake: Hundreds killed as border region hit - https://t.co/249pJ5LNxG, , #World-News https://t.co/7HQuv8pFpY"
142,RT @Iran: Leader’s message on western #IranEarthquake https://t.co/QXYVCS5oD5 #Iran #Khamenei https://t.co/IQ8CBN87sh
143,Is this for real? #FollowTheWhiteRabbit https://t.co/xTF0aRCPN2 https://t.co/1NXHvY340e
144,Our deepest condolence for the victims of #earthquake - Team @SaversPK #iran #Iraq https://t.co/cZta7kT5Cz
145,"#BREAKING update: Iran says earthquake kills 341, injures 5,953 https://t.co/XfTyIxTnWg"
146,"Rescue, Relief Efforts Underway in Iran after Big Earthquake #Iran https://t.co/F0QKEOxZSL"
147,Response to last night's #EarthquakeIraq from @OCHAIraq. Full report: https://t.co/LpqpBVUfnE https://t.co/9ejFsizkAE
150,THE LATEST: Death toll in powerful Iran-Iraq earthquake passes 300 https://t.co/EdA2CO188y https://t.co/sCvUqubMC5
151,"A devastating earthquake has claimed hundreds of lives, details still emerging. https://t.co/X5USh4YbHB https://t.co/iWgg4pyqBO"
152,RT @irishtimesvideo: ► VIDEO: Kurdish TV shows destroyed buildings after Iraq earthquake https://t.co/RpeFBZkjus https://t.co/FDFp3qkbD8
153,(Iran earthquake: Death toll soars to more than 350) has been published on News Paper Time - https://t.co/h2klwPJZfH https://t.co/SgNgSWe7u1
154,"With blessing health for the all injuries , and patience for the survivors for #earthquake in #Iran . https://t.co/kb8dAW7j56"
155,Saddest pic of earthquake of Iran-Iraq RIP birthdayboy https://t.co/sfmMGNA3wi
156,Morning Update newsletter: Trudeau speaks out on Bill 62; earthquake hits Iran-Iraq border https://t.co/aYuKNyKWpf https://t.co/0iVLoRsC97
157,RT @leilajou: #Iran Health Minister Meeting to discuss #relief plan #earthquake https://t.co/NKqTRZ637K
158,"RT @krishna77442854: Earthquake strikes Kuwait moment before , peoples are in fear. https://t.co/NtTemSxTmY"
159,RT @weatherbryan: 2nd large earthquake today. Iraq had a M7.2 this morning. There was just a M6.5 in Costa Rica. https://t.co/cG0RiFTKw0
160,RT @alialsalim: Magnitude 7.2 earthquake hits Iraq/Iran border towns. Felt throughout the Gulf as far as Dubai https://t.co/SQV1StH6QQ
161,Iran-Iraq earthquake: Rescuers in race for survivors https://t.co/stR3S9pHF2 https://t.co/OaQOpxdFj6
162,AJEnglish: Rescue efforts under way after Iran-Iraq earthquake as the death toll rises to more than 320 … https://t.co/ZtGLT6o6l0
163,"Over 320 Dead, Thousands Injured in Major Quake From The Weather Channel iPhone App https://t.co/ZSht84EMSE https://t.co/jOKDLPKUIY"
164,Iraq: Humanitarian partners are rushing to help the victims of the earthquake #humanitarian #newzealand #auckland https://t.co/4sBt9w1onl
165,"Strong Earthquake Hits Kurdish Regions in Iraq and Iran, Leaving Hundreds of Casualties https://t.co/SEkmjrILT9 https://t.co/dGIWZIX4Fe"
166,Video of live TV interview shows the moment a powerful earthquake hit Iraq https://t.co/wgBzUTtxRo https://t.co/mSYH9d8rxo
167,No Malaysian were reported to be present at the #Iran #earthquake area - Wisma Putra https://t.co/XO5MsvrncE
168,This just in ...Recent earthquake's ...Iran still shaking be nice now God is Watching https://t.co/D2xxjaZJ8g
169,RT @TWOFORTYEIGHTAM: What Earthquake? https://t.co/tXRK5fRocO https://t.co/hMYWCvHzqK
170,Thoughts &amp; Prayers for our brothers &amp; sisters effected by #earthquake at Iran-Iraq border area. #EarthQuakeIraq https://t.co/5pNBSnC9mN
172,Latest numbers emerging from earthquake that hit #Iran &amp; #Iraq - 211 dead &amp; 2504 injured in Iran https://t.co/VELDpduSWz
176,#Video #News via #CNN: Moment Iran-Iraq earthquake struck | https://t.co/gwRy80xTr7 https://t.co/xE0bEIvJE0
177,"Yesterday an earthquake shattered the country of Iraq killing 330 and injuring almost 4,000 others. #prayforiraq https://t.co/jX7QIP570X"
178,Iran / Iraq gets hit with an earthquake. Boo fucking hoo. Allah not that great then? Or was he busy fucking a goat? https://t.co/q7z7tZlbCt
182,RT @eblees: A 7.2 earthquake just hit Iraq &amp; surrounding regions. I hope everyone is safe! https://t.co/YkBkRqJMDA
183,PHOTO GALLERY: Earthquake hits Iraq and Iran https://t.co/Utvq8Mx6gb https://t.co/HRClnyx5Us
184,Please protect the suffering especially children today #earthquake in Iran/Persia https://t.co/uf6rdgRoMB
185,Hundreds dead in Iran #earthquake https://t.co/FxhNqNt8qK
186,328 die as massive #earthquake hit Kermanshah province of Iran along Iraq border #Iran https://t.co/yA6mMEu2WS
187,Iran-Iraq earthquake survivor: ’We could see the house collapsing’ – video report https://t.co/zB1LeJ7ssl https://t.co/No1bTErMuN
188,"#News ""Iran and Iraq reel after devastating earthquake kills hundreds"" via #USAToday | https://t.co/P8pl8La5vv https://t.co/O1srypEGNv"
189,Powerful earthquake strikes near Iraqi city of Halabja https://t.co/93mG7BV1q3 https://t.co/E8cBGWbLHH
190,.@Maryam_Rajavi's Urgent Appeal to Save Victims of #Earthquake in #Iran https://t.co/hvvapnC8Bc https://t.co/hRPAV4er4b
191,RT @LastQuake: #Earthquake (#زلزله) possibly felt 2 min ago in Northern Iran. Felt it? See https://t.co/wPtMW5ND1t https://t.co/CMwGBaGqdZ
192,RT @TruTawar: Earthquake Kurdistan Iran https://t.co/XMnZQiwhYr
194,My heart goes with Iran and Iraq 7.3 #earthquake . Pray for sarpol-e zahab and #Kurdistan ὤFὤFὤF὚4὚4὚4 https://t.co/rSvmmreHlj
195,#Earthquake Kurdistan - Updated toll: 410 people killed and 7000+ injured :( :( - https://t.co/nX21SoJL3z https://t.co/MZ3JS8VzZQ
196,"Deadly Quake: 328 People Dead and 2,500 Wounded as Terrible Earthquake Rocks… https://t.co/sfFet8uWrs https://t.co/GxGy1gkylp"
197,See the moment the earthquake struck https://t.co/GnxeYLgvg6 #USNews #USRC https://t.co/8JMMYlFHRY
198,New activation [#EMSR256]: Earthquake in Iraq https://t.co/0xHPjz0OJv #Copernicus #Earthquake #EUCivPro https://t.co/fxHl27wJGy
199,"#LATEST #UPDATE Iraq-Iran M7.5 earthquake -- 372+ killed, 6,000+ wounded https://t.co/9PN5Vsowtj https://t.co/H0ywPgvy9x"
200,"RT @YerevanSaeed: According to earthquake info 7.2 M earthquake hits Halabja area, Kurdistan. https://t.co/SjKbgkWpXQ"
202,Devastating images from Iranian cities impacted by last night's earthquake. #Iran #earthquake https://t.co/yUXgtqGVcD
206,V⁯ideo: Horrible scenes of earthquake at super store in Iraq - https://t.co/KwtsU10Fef #Pakistan https://t.co/RXXwhNY5nn
207,Earthquake in Kuwait https://t.co/0JDcFJXoPU https://t.co/mrlHekzGmw
208,United in #Prayer for Iran &amp; Iraq after deadly earthquake. #PrayforIran #PrayforIraq ✝️ https://t.co/xubd3rKjJ1
209,#Iran declares three days #mourning after 7.3 #quake https://t.co/VyIIfpuT6J #Iraq #earthquake https://t.co/xw8VL1yjhR
210,Official tells news agencies that Iran's death toll in powerful earthquake rises to 407 https://t.co/kJnT6YnWEb https://t.co/38MBH4Y3kC
211,RT @Tasnimnews_EN: #Iran Continues Exporting Gas to #Iraq despite Strong Earthquake https://t.co/gqA1yjTPev https://t.co/MmYk6Xf7oM
212,"Pakistan extends sympathies over loss of lives in Iran, Iraq after earthquake https://t.co/GNkUgBRfRj https://t.co/6fydRHtMMD"
213,"In Iraq, live TV interview interrupted by powerful earthquake. Watch https://t.co/miXeUhziJj https://t.co/eW6OvU7e8s"
214,Earthquake in Iran. I don't know what to say. I wish I had the right words to comfort these kids and people! https://t.co/w8banNcSTM
215,Turkey sends aid to Kurdistan Region earthquake victims https://t.co/qOiZfPbW8w #Iraq #TwitterKurds https://t.co/UKp0NAy50j
216,RT @africanviews: The damaged house in Iran following Sunday earthquake measuring 7.3 magnitude https://t.co/TJIG2hQ7qy
217,ISESCO expresses its condolences over earthquake in Iraq-Iran border region https://t.co/LJhcHkZpBP
218,Iran Hunts for Survivors Following Devastating Earthquake https://t.co/Oe2YtDr3kl https://t.co/sARmUohn1q
219,Video: Force of Iran-Iraq earthquake sends items flying off shop shelves in Kuwait https://t.co/TzACn199S5 https://t.co/GcibsTVsUR
220,Today's @LBC Drive in 8 words... Acid attacks Brexit Rohinga crisis Iraq/Iran Earthquake https://t.co/1U78wi73DU
221,Video: Footage from #Iraq Kurdistan of quake that struck late Sunday https://t.co/YuJGFWmfYl https://t.co/yjGocgsL0S
222,New post (Iran-Iraq border earthquake is deadliest of 2017) has been published on OursTube - https://t.co/jxkPqarnJD https://t.co/APZg8xvMnA
223,"On Monday morning, #Iran gave a provisional toll of more than 200 dead.#earthquake https://t.co/9WnnGaRju9 … … https://t.co/T5RgOamZjz"
224,Lmk why no one is talking about this GIANT earthquake that hit Iran/Iraq last night https://t.co/Kv8jhDt27R
225,RT @CBCNews: Dozens killed after 7.2 earthquake rocks Iran-Iraq border https://t.co/dClN9vTUZk https://t.co/u6vfSFYjVx
226,National Earthquake Information Center https://t.co/g27EugMEu0 Iraq https://t.co/1Zcaodc9Xh
229,"70,000 people need shelter after this 7.3-magnitude earthquake hit the border of Iran and Iraq. #SendingPrayersὤFἿD https://t.co/BL3FXUGhnM"
230,#Algeria How social media told story of Iran-Iraq earthquake https://t.co/8PeXeADZFu #الجزائر https://t.co/gTgAqPgDcf
231,Iran-Iraq὆9ἿD‍⚕️ὤFἿCFor the Citizens of ἞E἟7+἞E἟6The majority are victims of Greedy Men &amp; now Earthquake‼️ https://t.co/jK78XLYRMe
232,HI HELLO I AM GOD HERE ORDER PLEASE FIX ALL PRESIDENT ARE COUNTRY EMERGENCY HELP IRAQ AND IRAN HAVE EARTHQUAKE ! https://t.co/KeiP43dZXr
233,"RT @borzou: Magnitude 7.4 earthquake strikes along Iraq-Iran border, 32 km from town of Halabja. Via @USGS https://t.co/RvSpTI7NHc"
234,(Buzzfeed):#Devastating Photographs Show The #Aftermath Of The Deadly Earthquake On The.. https://t.co/lfKoUQVheo https://t.co/UAgGifiPhN
235,Photos show devastation left behind by 7.3 quake near Iran-Iraq border https://t.co/bZNqpup7bV https://t.co/IHeNlB2Kcj
236,"USGS Earthquake summary posters – Halabjah, Iraq (website) #UAlbanyGovInfo #UAlbanyLibs https://t.co/oVZNPXu45r https://t.co/bsvYtCUROQ"
237,"RT @edrormba: #Israel sends condolences to #Iran, #Iraq after catastrophic #earthquake. https://t.co/KwNTWRq8hI https://t.co/aJ9LjK8zix"
238,These Images From The Earthquake's Aftermath In Iran Will Break Your Heart https://t.co/7R4CjoWcnS via @AnupKaphle https://t.co/ctjq1H8VRU
242,"M7.3 #earthquake 32km S of #Halabjah, #Iraq https://t.co/RaWMa9c146 #Sulaymānīyah #USGS #Geology https://t.co/SRb3uGuvWk"
243,"Earthquake in iran, quit and others.. https://t.co/w6UUGxB5g0"
244,#Earthquake effect Kuwait version #TamilansὄDὄCὊAἿB https://t.co/YUzFsDmxov
247,Earthquake hits border of Iran and Iraq – in pictures https://t.co/MzUg1cJpqE #Noticias #Actualidad #News https://t.co/TgpopbUXy8
248,In photos: Survivor search continues after earthquake decimates Iran and Iraq https://t.co/zputaZJ02M https://t.co/hOQv9NeW88
249,The Iran #earthquake as recorded at the SEP seismometer installed at @ICTJA_CSIC https://t.co/N4xELoWL1J
251,Pope offers ‘prayerful solidarity’ to Iran-Iraq earthquake victims https://t.co/5PjONWWwWS https://t.co/6elSjgEDLm
252,A scene of devastation in west of Iran due to recent earthquake. https://t.co/7qbN3zpIJ5
253,"Grieving for lost family member, Iran earthquake https://t.co/qWCqXizL3I"
254,RT @Pasargad_Bank: Our condolences due to loss of last night’s #earthquake victimsὤFἿBὤFἿBὤFἿB #iran #زلزله‌کرمانشاه https://t.co/adm58F7lSO
255,The Latest: Italy sends aid after Iran earthquake https://t.co/UYEnuZmO5Q https://t.co/x0jH69uJNx
256,"Girl students' dormitory ruined after terrible earthquake, west of Iran. https://t.co/VjKcsJi4Ij"
257,More than 400 now thought to have died following strongest earthquake of 2017 https://t.co/3AGwwZBCPm https://t.co/GLBFnxjTuV
258,Iran-Iraq temblor: 'This earthquake was a sudden wave of death' https://t.co/OTQ2973qEF https://t.co/FBKP3gAzWP
259,"Iraq-Iran earthquake reporting, the day after, November 13, 2017 +Japan and Costa Rice Earthquakes https://t.co/oC1U3h1NKo"
260,RT @PMBreakingNews: Location of massive earthquake in Iran https://t.co/BDzx85C8z4
261,☮️ #Humanity and ❤️ to everyone in #Iran &amp; #Iraq Ὁ5 #earthquake #rescue #help #aid https://t.co/nO8HfS2kKU
262,"Baby born after #Iran’s deadly #earthquake gives hope to a shocked nation ,#ايران #زلزله #سرپل‌ذهاب https://t.co/Zm0WAUmq5I"
263,"UPDATE: Iran-Iraq earthquake • Death toll at 452 • 7,100 injured • Deadliest quake of 2017 https://t.co/ZkFBliylmj https://t.co/whtcH0Jncy"
264,The local seismograph detected the Iran-Iraq earthquake making the detector ringing for more than 12 minutes!!! https://t.co/MQhO2SNLZR
265,#Oxfam will assist #Iraq amid recent #earthquake - country director https://t.co/wrKg9ZdGeI https://t.co/TJurcdBHby
266,Officials in Iran and Iraq aid rushed to areas hit by deadly magnitude 7.3 earthquake https://t.co/Kx2ucbGMl3 https://t.co/earfqgBege
267,Iran-Iraq Earthquake: Damages Caused By Last Night&amp;rsquo;S Earthquake (Sourced by ENEX) https://t.co/HFt2kD2JmH https://t.co/SkqydjevSL
268,"More than 400 killed in Iran-Iraq quake, state media says https://t.co/6hMjDtGvEF https://t.co/mHJSlP1iWC"
269,This Earthquake seems to be occurred on ZARGOS THRUST or on some of it off-Shoots near IRAN IRAQ BOUNDARY. https://t.co/DL7gP49zWn
