text,date,category
RT @dwnews: Mexico earthquake update: More than 200 dead as numerous buildings collapse https://t.co/XbYxuaWGSS https://t.co/jB3rWk3fM9,20_9_2017,injured_or_dead_people
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,20_9_2017,infrastructure_and_utility_damage
"RT @theAGU: USGS ShakeMap of the M 7.1 earthquake 5km ENE of Raboso, Mexico. https://t.co/QjyEK2dWLk https://t.co/K0mxnyseMK",20_9_2017,other_relevant_information
The Brief: An earthquake in Mexico has killed more than 200Â people https://t.co/vIdgMlszzD https://t.co/Z028k6cKUg,20_9_2017,injured_or_dead_people
Deadly earthquake hits Mexico City My Deep condolences with the people of MEXICO. https://t.co/5ov8KKE4y4,20_9_2017,other_relevant_information
Removing the jungle gym from elementary school where at least 22 students died in Mexico earthquake https://t.co/q4WTMFoQyk,20_9_2017,injured_or_dead_people
Mexico: Dona a las victimas del Terremoto. Donate to the victims of theÂ Earthquake. https://t.co/SXfNngKE87 https://t.co/C3wdAzyt8S,20_9_2017,rescue_volunteering_or_donation_effort
"RT @MSN: Horror, desperation follow earthquake in Mexico City https://t.co/VeXCcfeIeZ https://t.co/6UNK0zdSCF",20_9_2017,other_relevant_information
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,20_9_2017,infrastructure_and_utility_damage
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,20_9_2017,infrastructure_and_utility_damage
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,20_9_2017,infrastructure_and_utility_damage
Terrifying visuals of #Mexico #earthquake stun the world | https://t.co/id4P48vVud https://t.co/TXQRZZimOS,20_9_2017,other_relevant_information
21 kids among dead found in school after Mexico earthquake https://t.co/7mnv1THMbL https://t.co/HCITSEtjAa,20_9_2017,injured_or_dead_people
Mexico earthquake building collapse: Rescue caught on video as children pulled from rubbleâ€¦ https://t.co/stlQsHAg7j https://t.co/GLBh0BZLaW,20_9_2017,infrastructure_and_utility_damage
"Nissan evacuates Mexico City HQ, Cuernavaca plant after earthquake https://t.co/EjuenXBp9H #storystream #auto https://t.co/5QgBUPB67K",20_9_2017,other_relevant_information
"RT @thedailybeast: Amid the rubble of Mexico's huge earthquake, there are many helping hands https://t.co/fB57xVPjW7 https://t.co/i7IAJ4sbaZ",20_9_2017,rescue_volunteering_or_donation_effort
"In a collapsed Mexico school, a community digs for signs of life https://t.co/KRoFY8uFL3 #SocialMedia https://t.co/mvQiyZr2IR",20_9_2017,infrastructure_and_utility_damage
Mexico Combs The Rubble For Survivors After Earthquake Kills At Least 225 https://t.co/KudZhXORZu #SocialMedia https://t.co/Gtn7NAV2tk,20_9_2017,injured_or_dead_people
Trump sent his condolences at Mexico after the earthquake https://t.co/1P6R84UMyN,20_9_2017,other_relevant_information
Mexico reels following devastating earthquake https://t.co/62tXU8opb4 https://t.co/TVEAOzpR23,20_9_2017,infrastructure_and_utility_damage
RT @ClevverTV: Fans fear for Shawn Mendes' safety after deadly #MexicoCityearthquake https://t.co/w2TuxjnOI0 https://t.co/YKxOk7XaAu,20_9_2017,other_relevant_information
RT @mashable: Here's how to help Mexico after another deadly earthquake https://t.co/O0KYwEaBKw https://t.co/O56otvYCIQ,20_9_2017,rescue_volunteering_or_donation_effort
RT @rmota: Stay Strong #puertorico and #mexico #HurricaneMaria #earthquake https://t.co/6SkQs6wIWS,20_9_2017,not_humanitarian
Hundreds Dead in Mexico After Earthquake Strikes on Anniversary of Devastating 1985 Quake https://t.co/cG0uV61L8t https://t.co/SyF7wQL0Ak,20_9_2017,injured_or_dead_people
RT @Slate: There was another earthquake in Mexico yesterday. Is the world ending? https://t.co/HNIs3ev00L https://t.co/tLIxtEh12u,20_9_2017,other_relevant_information
"Sad day for Mexico City. Our home was hitting by an aggressive Earthquake, again on September 19th. https://t.co/pBrVZgpfl3",20_9_2017,infrastructure_and_utility_damage
Emergency relief for #Mexico as second #earthquake hits. @save_children https://t.co/lVMCd3dD40 https://t.co/Z5esRsMeMW,20_9_2017,other_relevant_information
RT @thecrow1one: God bless to Mexico and all your lost lifes after the terrible earthquake...á½¤Fá¼žEá¼Ÿ9â¤ https://t.co/iyE8bltXtW,20_9_2017,not_humanitarian
Rescue Work Continues After Tuesday's Mexico City Earthquake https://t.co/A0vwXrYHdx https://t.co/Ij5aOmWZkt,20_9_2017,rescue_volunteering_or_donation_effort
RT @JinesHatesYou: Juice=Juice sending love to Mexico after big earthquake. â¤#JJ_worldtour #Mexico #FuerzaMexico https://t.co/Rbc2gZZp1S,20_9_2017,not_humanitarian
RT @JinesHatesYou: Juice=Juice sending love to Mexico after big earthquake. â¤#JJ_worldtour #Mexico #FuerzaMexico https://t.co/Rbc2gZZp1S,20_9_2017,not_humanitarian
RT @JinesHatesYou: Juice=Juice sending love to Mexico after big earthquake. â¤#JJ_worldtour #Mexico #FuerzaMexico https://t.co/Rbc2gZZp1S,20_9_2017,not_humanitarian
RT @JinesHatesYou: Juice=Juice sending love to Mexico after big earthquake. â¤#JJ_worldtour #Mexico #FuerzaMexico https://t.co/Rbc2gZZp1S,20_9_2017,not_humanitarian
"VW, Audi, Nissan production hit by Mexico earthquake https://t.co/g1uvEHGCjj https://t.co/r0Q08LspVR",20_9_2017,vehicle_damage
RT @IAFsite: The IAF &amp; Home Front Command #aid mission to earthquake-stricken #Mexico has taken off from Nevatim AFB https://t.co/2UnLELPsXx,20_9_2017,rescue_volunteering_or_donation_effort
Highly effective earthquake devastates central Mexico - https://t.co/damR2GDdB3 https://t.co/SC7wVnl4oX,20_9_2017,infrastructure_and_utility_damage
Mexico...... I'm sad... I think of wenchuan earthquake in Chinaá½¢3á½¢3 https://t.co/HWXQGqjX9g,20_9_2017,not_humanitarian
About to go live on @whiotv at Noon with some local connections &amp; perspective on the earthquake in Mexico. https://t.co/3W2OvVnTND,20_9_2017,not_humanitarian
Photos out of Mexico City show the damage from magnitude-7.1 earthquake https://t.co/s2S5RSedrx https://t.co/O6Ave9qh7Z,20_9_2017,infrastructure_and_utility_damage
"Death toll rises to at least 217 people, including school children found dead under rubbleâ€¦ https://t.co/gkDgQlOVs4 https://t.co/wAEg4bRhBZ",20_9_2017,injured_or_dead_people
RT @RSGovUK: Our deepest condolences to #Mexico earthquake victims &amp; their loved ones. Stay strong! https://t.co/UXN9htwwsy,20_9_2017,injured_or_dead_people
So sad to hear about the earthquake in Mexico City. My thoughts go out to everyone there á½‰Cá½‰C #mexicocity https://t.co/GBDrnocM7r,20_9_2017,other_relevant_information
Earthquake death toll climbs to 225 in Mexico as frantic search continues for survivors https://t.co/ZlzcR5GAhM https://t.co/Kt2juFTNy7,20_9_2017,injured_or_dead_people
At least 226 killed in #Mexico's new earthquake https://t.co/4rzIozocIS #NRTnews https://t.co/Acgcalnr3K,20_9_2017,injured_or_dead_people
Mexico City earthquake: Cristiano Ronaldo and top clubs lead tributes to victims of disaster https://t.co/U8cDRehJGH https://t.co/bTXG3SfpwQ,20_9_2017,not_humanitarian
"Mexico earthquake: Death toll soars, 30 pupils missing https://t.co/srWnjWhrtO https://t.co/MABRRXLeOw",20_9_2017,injured_or_dead_people
Live Updates: 225 People Killed As Powerful 7.1 Magnitude Earthquake Strikes Mexico https://t.co/n6Jdv5mDID https://t.co/17tA3V4uUD,20_9_2017,injured_or_dead_people
"RT @crodriguezap: Soldiers are removing debris in Jojutla, Mexico after the earthquake @AP_News https://t.co/rPQ3MBqNdr",20_9_2017,rescue_volunteering_or_donation_effort
Watch the Emotional Rescue of a Dog Trapped in Rubble After Earthquake in Mexico City... https://t.co/kvxRFXrEX7 https://t.co/RnaG3aMSnO,20_9_2017,rescue_volunteering_or_donation_effort
Mexico Earthquake Kills 250 People Powerful Temblor Collapses Buildings 21 School Children Crushed Under School |... https://t.co/uxSOqmCUQE,20_9_2017,injured_or_dead_people
Pau Gasol shares his support for victims of Mexico City earthquake https://t.co/UBGMf4X1uN #GoSpursGo https://t.co/taHvdK5Wa4,20_9_2017,rescue_volunteering_or_donation_effort
Breaking: Death Toll Rises To Over 200 https://t.co/ktiMqWEL5A https://t.co/QlYqn5bS1S,20_9_2017,injured_or_dead_people
RT @citizentvkenya: Huge Earthquake Rocks Mexico City https://t.co/d01JibC1WG https://t.co/hai7fQBVF9,20_9_2017,other_relevant_information
"RT @CityLab: Mexico City's earthquake, through residents' eyes https://t.co/tu4Jtk8goL #CDMX https://t.co/Ge5100NQz5",20_9_2017,other_relevant_information
RT @examrevision4u: Useful PowerPoint slide for the #Earthquake in #Mexico #Geography #Geo #JC #LC https://t.co/GvppN4HkAJ,20_9_2017,not_humanitarian
"Eva Longoria, Fifth Harmony and More Celebs React to Devastating MexicoÂ Earthquake https://t.co/haXA7Ro4nx https://t.co/ndD1EWuEWU",20_9_2017,not_humanitarian
"A powerful 7.1 magnitude earthquake jolted Mexico City, killing more than 200 Jeremy Berke https://t.co/hqMTz6NsDU",20_9_2017,injured_or_dead_people
Gas explosion fills Mexico City sky with fire following earthquake https://t.co/lSAzEjWYEt https://t.co/5ZQamtqwL4,20_9_2017,infrastructure_and_utility_damage
RT @podobensky: á½ª8á½ª8Central Mexico 7.1 Earthquake 30 minutes agoá½ª8á½ª8 https://t.co/0p9x7ZHMMU,20_9_2017,other_relevant_information
21 children crushed beneath a school in Mexicoâ€™s powerful 7.1-magnitudeÂ earthquake https://t.co/m4ODsTtXOv https://t.co/ea9hD9olCR,20_9_2017,injured_or_dead_people
Dramatic video shows moment of gas explosion after earthquake in Mexico: https://t.co/GhnxRxDp7P https://t.co/bWQQFZmeFZ,20_9_2017,other_relevant_information
@SkyNews O my people REPENT before it is too late #Mexico #earthquake #newzealand #hurricane #Maria https://t.co/3Bx24ezdEz,20_9_2017,other_relevant_information
"RT MyMusicGrind ""Mexico City Earthquake: BeyoncÃ©, Nicki Minaj &amp; More Share Prayers https://t.co/t7K3VSV6Oc https://t.co/GyHdvrmZhB""",20_9_2017,not_humanitarian
How to help Mexico recover from its devastating earthquake from wherever you are https://t.co/I1KLycokky https://t.co/rZTUrRpf4p,20_9_2017,rescue_volunteering_or_donation_effort
Our thoughts are with all those affected by yesterday's powerful #earthquake in #Mexico. https://t.co/V4OFjN2ooR https://t.co/8JH7mWeVgR,20_9_2017,not_humanitarian
Rescuers search collapsed school after Mexico earthquake https://t.co/dQQZICE1GC https://t.co/afmfyIaRhb,20_9_2017,rescue_volunteering_or_donation_effort
Rescuers search collapsed school after Mexico earthquake https://t.co/dQQZICE1GC https://t.co/afmfyIaRhb,20_9_2017,rescue_volunteering_or_donation_effort
Mexico earthquake as it struck https://t.co/VzPRgYI7dj https://t.co/9assqvKzwG,20_9_2017,other_relevant_information
RT @sarahofff: For any of you who want to help with earthquake relief in Mexico City: https://t.co/y3U1BDv35a,20_9_2017,rescue_volunteering_or_donation_effort
RT @sarahofff: For any of you who want to help with earthquake relief in Mexico City: https://t.co/y3U1BDv35a,20_9_2017,rescue_volunteering_or_donation_effort
RT @sarahofff: For any of you who want to help with earthquake relief in Mexico City: https://t.co/y3U1BDv35a,20_9_2017,rescue_volunteering_or_donation_effort
Missing school children in Mexico City amid the ruins of the hugeÂ earthquake https://t.co/AAYTC91kds https://t.co/i3AR8ZEOAW,20_9_2017,missing_or_found_people
RT @AJEnglish: RT @AJENews: Powerful 7.1 magnitude earthquake hits southern Mexico https://t.co/sBOGfWxRGI https://t.co/yUdss1RcLM,20_9_2017,other_relevant_information
Here's how you can help after the terrible earthquake that took place in Mexico. #FuerzaMÃ©xico á¼Ÿ2á¼ŸD @topos https://t.co/g3AFdTCjYB,20_9_2017,rescue_volunteering_or_donation_effort
Here's how you can help after the terrible earthquake that took place in Mexico. #FuerzaMÃ©xico á¼Ÿ2á¼ŸD @topos https://t.co/g3AFdTCjYB,20_9_2017,rescue_volunteering_or_donation_effort
RT @CP24: Trudeau says Canada ready to help after 'devastating' earthquake in Mexico https://t.co/jZNOCwdZe9 https://t.co/fcupuY6gRn,20_9_2017,rescue_volunteering_or_donation_effort
RT @rafafc91: Improvised clinics are being set up in Mexico City parks to aid earthquake victims. https://t.co/ckfv5WRatr,20_9_2017,rescue_volunteering_or_donation_effort
Ronaldo &amp; Chicharito lead messages of support to Mexico earthquake victims https://t.co/hJJNBonLdq https://t.co/kWT9V62Q9B,20_9_2017,rescue_volunteering_or_donation_effort
RT @BarcaSpiral: Our thoughts are with Mexico after that devastating earthquake last night. https://t.co/FSdzzWoZ0A,20_9_2017,not_humanitarian
RT @business: Photos of Mexico City after the nation's second major earthquake this month https://t.co/pJdMZkKGZE https://t.co/p3Zm0QWAa4,20_9_2017,other_relevant_information
RT @business: Photos of Mexico City after the nation's second major earthquake this month https://t.co/pJdMZkKGZE https://t.co/p3Zm0QWAa4,20_9_2017,other_relevant_information
RT @business: Photos of Mexico City after the nation's second major earthquake this month https://t.co/pJdMZkKGZE https://t.co/p3Zm0QWAa4,20_9_2017,other_relevant_information
Devastating earthquake rocks Mexico again! My prayers for the families and friends. Let https://t.co/Dwph182Gcf https://t.co/PAhpbreA2E,20_9_2017,other_relevant_information
(Automakers survey earthquake damage in Mexico) - Xania News - https://t.co/KKzlKC2xao #XaniaNews https://t.co/y5m4WoxPaQ,20_9_2017,other_relevant_information
Mexico City earthquake: International Paralympic Committee postponesÂ events https://t.co/nYSr0TUhZW https://t.co/DWvSMbLcgO,20_9_2017,other_relevant_information
Mexico City Sport Director Says No Major Damage to Estadio Azteca in Earthquake - Bleacher Report https://t.co/kKYE3WpozU,20_9_2017,infrastructure_and_utility_damage
RT @The_Tablet: Pope prays for victims of #Mexico earthquake https://t.co/K3jYgInWmT https://t.co/apfNVvsriO,20_9_2017,other_relevant_information
"A tweet from: POTUS, via: Twitter for iPhone https://t.co/UvjZ4MptIH https://t.co/CWx8yrt6sw",20_9_2017,not_humanitarian
Great News Reporting About Mexico City Earthquake Magdalena! @MagdalenaDoris https://t.co/CDFlnFXlM8,20_9_2017,not_humanitarian
New activation [#EMSR244]: Earthquake in Central Mexico https://t.co/3lcYxNNh4f #Copernicus #Earthquake #EUCivPro https://t.co/7VjkOPOda0,20_9_2017,not_humanitarian
"Mexico Earthquake Update: 55 Killed, More Deaths Expected https://t.co/WHD3qWUaxQ https://t.co/vFGDMLg6gM",20_9_2017,injured_or_dead_people
@paolaturbay NEW EARTHQUAKE IN MEXICO YESTERDAY ALLOW AT LEAST 200 DEADS. https://t.co/NN9IVxsYCV,20_9_2017,injured_or_dead_people
"Mexico Earthquake Claims at Least 248 Lives, Many Still Missing https://t.co/8TvKJCLYpM https://t.co/HDErvmUzto",20_9_2017,injured_or_dead_people
"Info in japanese, how to help in the earthquake in Mexico; https://t.co/Yq2xFqFcBu",20_9_2017,other_relevant_information
"Info in japanese, how to help in the earthquake in Mexico; https://t.co/Yq2xFqFcBu",20_9_2017,other_relevant_information
7.1 Magnitude Terremoto Earthquake Mexico 19/09/2017 https://t.co/AdDpfTsOaP https://t.co/Qr6swAcLrx,20_9_2017,other_relevant_information
âš ï¸ EARTHQUAKE IN MEXICO á¼Ÿ2á¼ŸD PLEASE RT TO HELP âš ï¸ @topos #FuerzaMexico https://t.co/62XJtcpez8,20_9_2017,not_humanitarian
âš ï¸ EARTHQUAKE IN MEXICO á¼Ÿ2á¼ŸD PLEASE RT TO HELP âš ï¸ @topos #FuerzaMexico https://t.co/62XJtcpez8,20_9_2017,not_humanitarian
#hurricanemaria #Earthquake in #Mexico. My heart is heavy. Sending hugs https://t.co/qQM4eFRpv4,20_9_2017,not_humanitarian
#News #India #Kerala #Malayalam #Hindi https://t.co/TGAdXTXAjj Earthquake kills dozens in central Mexico https://t.co/4GCaVsGQPx,20_9_2017,injured_or_dead_people
"RT @tostvnetwork: Earthquake kills hundreds in Mexico, sends buildings crashing https://t.co/XZgwfgkp7b https://t.co/u8Yjx7eTAs",20_9_2017,injured_or_dead_people
See What the Earthquake Destruction in Mexico City Looks Like https://t.co/97NKa8J21C https://t.co/pygtdkb6WO,20_9_2017,infrastructure_and_utility_damage
RT @Grace_PaCo: @PhillyD Earthquake in Mexico and how you can donate through PayPal to Los Topos. This is the email: https://t.co/AmnBV3nzz1,20_9_2017,rescue_volunteering_or_donation_effort
Amazing show of teamwork and unity during Mexicoâ€™s earthquake rescue efforts. https://t.co/ZQCl0xISaK,20_9_2017,rescue_volunteering_or_donation_effort
Earthquake kills dozens in central Mexico https://t.co/5CyVg0RrTc #noticias #VÃ­deo https://t.co/cGJvWPrJEB,20_9_2017,injured_or_dead_people
"RT @AdiAlsaid: Fuck. Another big earthquake in Mexico City. Still okay, but damage on my street. https://t.co/GdNWjoNf0i",20_9_2017,infrastructure_and_utility_damage
IBTimes: WATCH: Mexico City earthquake damage was captured in a drone video https://t.co/g4fn8GNLvi https://t.co/xWN5wkDeIr,20_9_2017,infrastructure_and_utility_damage
RT @tsoupras: We pray for you Mexico! Big earthquake killer!!! https://t.co/9lOCt9Zapb,20_9_2017,not_humanitarian
RT @mattdpearce: .@katelinthicum on the scene in Mexico City. https://t.co/QX02Z35MIH https://t.co/YHK9dt7OGv,20_9_2017,not_humanitarian
.Central #Mexico #Earthquake #Worksheet #Geography #Junior Cycle #JCGeography https://t.co/QyZHKgSFNj,20_9_2017,not_humanitarian
Mexico City Volunteers Venture Out in Force to Aid Quake Victims https://t.co/0zGRChFn6E #SocialMedia https://t.co/SI61HNh0RU,20_9_2017,rescue_volunteering_or_donation_effort
"After an earthquake, silence can save lives https://t.co/dkgPxn4NNc #SocialMedia https://t.co/QgEiehgmKR",20_9_2017,not_humanitarian
LIVE VIDEO: Mexico Earthquake Topples Buildings #MexicoCityEarthquake https://t.co/5maKUTw48r â˜Click LINK For Video https://t.co/P9usREJAG4,20_9_2017,infrastructure_and_utility_damage
RT @latimes: Watch: Here's what it looked like during and after the Mexico earthquake https://t.co/wb5eCmUSPP https://t.co/hH3mt5vEl4,20_9_2017,other_relevant_information
á¼žAá¼ŸAECHO MAP | Â á¼Ÿ2á¼ŸDMexico 7.1 earthquake impact: https://t.co/7uAv8d8Jlf https://t.co/qS64dIKBLk,20_9_2017,not_humanitarian
RT @RphNabeel: #MÃ©xicoEstÃ¡DePie Prayers for all injured and deceased in earthquake at Mexico. https://t.co/DpB4UAp9Z9,20_9_2017,not_humanitarian
Volunteers form giant human chain to rescue victims trapped after Mexico earthquake https://t.co/7EPxWQyoiL https://t.co/j04B6txPkV,20_9_2017,rescue_volunteering_or_donation_effort
"PHOTO OF THE DAY: Soldiers, rescuers and civilians work at a collapsed building after an earthquake in Mexico City https://t.co/I1OGxfLe6v",20_9_2017,rescue_volunteering_or_donation_effort
RT @zesty_raiders: Raiders Release Statement on Central Mexico Earthquake https://t.co/DPkzp2ldyA https://t.co/KSdPD5Vfi8,20_9_2017,not_humanitarian
What You Can Do To Help Mexico City Earthquake Victims https://t.co/tBNsI9OYWY https://t.co/wWnyEamkgK,20_9_2017,rescue_volunteering_or_donation_effort
RT @MajestyMagazine: A message from the Queen to the President of Mexico following the recent earthquake. https://t.co/7mNCr2Hyob,20_9_2017,not_humanitarian
Mexico City earthquake: Pictures of the damage and destruction https://t.co/o4S2uOvLqU https://t.co/youUAhoO9L,20_9_2017,infrastructure_and_utility_damage
[WATCH]: Mexico: Moment earthquake struck - BBC News https://t.co/QBkXXnCeLy #Videos via @IBNMoney_com #USA https://t.co/YgUQrLrciY,20_9_2017,other_relevant_information
"As ""Maria"" hits Caribbean and Mexico digs out of earthquake, NS posts emergency broadcast test. Only a test. Phew! https://t.co/xMG4mmLAt0",20_9_2017,not_humanitarian
Jan Man: Rescue operation underway in Mexico after devastating earthquake https://t.co/khlszg9IZU #NewsInVidsIndia https://t.co/rAMT5FZLVu,20_9_2017,rescue_volunteering_or_donation_effort
Here's how you can help Mexico earthquake victimshttp://for.tn/2xeZ3MM by #FortuneMagazine https://t.co/32GvOBVF7R,20_9_2017,other_relevant_information
"People on Twitter, Facebook, and other social-media platforms are posting photos and videos https://t.co/caLQYDQXkZ https://t.co/D7HRNeL2lE",20_9_2017,not_humanitarian
"NFL assessing Mexico City stadium, facilities in earthquakeÂ aftermath https://t.co/rBP4bM2tpY https://t.co/lMkMHFaf3A",20_9_2017,not_humanitarian
Harrowing Videos Show The Moments An Earthquake Struck Mexico https://t.co/AmMVNpj4yX https://t.co/ht25yQp2Y1,20_9_2017,other_relevant_information
"RT @channelstv: 21 Schoolchildren, Over 200 Others Killed In Mexico Earthquake. https://t.co/O2vpFzd1My https://t.co/RelIUjVkHf",20_9_2017,injured_or_dead_people
"RT @eqgr: 7âƒ£1âƒ£ á¼Ÿ2á¼ŸD Earthquake M 7.1, 19/09 13:14, depth: 10 Km, CENTRAL MEXICO #earthquake #gfz https://t.co/poHQHffasE",20_9_2017,other_relevant_information
We've spent many happy weeks in Mexico City filming @sense8 - here's how you can help the earthquake victims. á¼Ÿ2á¼ŸD á½¤F https://t.co/m2INyEUbmr,20_9_2017,rescue_volunteering_or_donation_effort
RT @Camnzo: Hey @dog_rates how about Frida? She's a rescue dog that saved 52 lives after Mexico's earthquake https://t.co/y30V3yjDAs,20_9_2017,rescue_volunteering_or_donation_effort
RT @Camnzo: Hey @dog_rates how about Frida? She's a rescue dog that saved 52 lives after Mexico's earthquake https://t.co/y30V3yjDAs,20_9_2017,rescue_volunteering_or_donation_effort
@CartiaMallan #askCartia for help!!! Pls RT Mexico is in need after the earthquake https://t.co/2tQu4eYFHH,20_9_2017,other_relevant_information
Thinking of those in #Mexico affected by today's #earthquake. https://t.co/nhkfB6Mn0K,20_9_2017,other_relevant_information
Photos from the Mexico Earthquake by Unknown Author via NYT https://t.co/z7kpGRCgKc https://t.co/cJMik44nGp,20_9_2017,other_relevant_information
