text,date
【英語の勉強】おはようございます。 今日の朝勉朝活 ①英字新聞JAPAN NEWS社説音読 ・Aircraft collision at Haneda Airport ・Noto Peninsula Earthquake ②CNN EE January 2024  ・中級者Week3 Day4,Jan-05
1st picnic of 2024  - Japan earthquake relief - July Osaka Exhibition - Nov Bangkok DEVCON side event - ArtGumi Residency - Creative Art NFT exhibition - Korea news video - Face yoga - Mirror therapy  (Couldn't take screenshot with  @ICyberSkull  in time ),Jan-04
Replying to  @BNONews,Jan-04
Four major accidents in #Japan in early #2024 جاپان کے لیے 2024 کی شروعات اچھی نہیں رہی۔ #JapanEarthquake #JapanAirlines #เบียร์เดอะวอยส์ #DartsWorldChampionship #Iran #njwk18,Jan-04
Japan in 2024 started with a big earthquake and airplane accident. My thoughts go out to everyone affected and I pray for quick recovery. お正月の地震と航空機事故の被害にあわれた皆様へ心よりお見舞い申し上げますとともに一日も早い復旧をお祈りします。本年もよろしくお願いいたします。,Jan-04
"Scenes from the M7.5 earthquake that hit central Japan on January 1, 2024",Jan-04
"#PrayForJapan and my brother who is pastoring at Uchinada Bible Church in Ishikawa where they have been impacted by the Japan earthquake magnitude 7.4 and Tsunami that devastated their area.  With just celebrating and welcoming the new year 2024 in, dozens have died, hundreds of",Jan-04
Ape kena ngan Japan in 2024 nii   From earthquake to tsunami to aeroplane clash fire to this in 4 DAYS,Jan-04
In 2024 Japan has had:  an earthquake  a deadly plane collision a train stabbing a building fire,Jan-04
Japan’s situation 2024 January  1st : Noto peninsula Earthquake M7.6 2nd : Japan plane crash 3rd : Fire Breaks Out in Restaurant-Packed District of Kitakyushu 3rd : Yamanote Line Knife Attack Suspect,Jan-04
"Scenes from the M7.5 earthquake that hit central Japan on January 1, 2024 #Japan #JapanEarthquake",Jan-04
"Scenes from the magnitude 7.5 earthquake that hit central Japan on January 1, 2024 #Japan #earthquakejapan #NewYear   https://twitter.com/Levandov_2/status/1742454925601247614/video/1…",Jan-04
 2024 had a bad start:  1. The war in Ukraine continues;  2. Genocide in Gaza continues;  3. Houthi blocked the trade route in the Red Sea;  4. Japan Earthquake;  5. Japanese planes collide and catch fire;  6. Political assassinations in South Korea;  7. Iran terrorist explosions… Show more,Jan-04
Japan’s situation 2024 January  1st : Noto peninsula Earthquake M7.6 2nd : Japan plane crash 3rd : Fire Breaks Out in Restaurant-Packed District of Kitakyushu 3rd : Yamanote Line Knife Attack Suspect,Jan-04
Fuckin hell 2024 has been a terrible year for Japan  Jan 1st: Earthquake Jan 2nd: Plane collision Jan 3rd: Massive fire at a railway station,Jan-04
المزيد من اللقطات للدمار الذي حدث بعد أن ضرب زلزال بقوة 7.6 36 كم شمال شرق أناميزو، #اليابان  | 1 يناير 2024 |  #Earthquake #Japan #JapanEarthquake #JapanTsunami,Jan-04
"Scenes from a M7.5 #earthquake - Central #Japan January 1, 2024   #EarthquakeinJapan   @Hana_ElSayyed   @CurieuxExplorer   @anand_narang   @Shi4Tech   @enilev   @Khulood_Almani   @Fabriziobustama   @NevilleGaunt   @RagusoSergio   @TravelFoodiesTV   @BetaMoroney   @JoannMoretti   @kalydeoo   @mvollmer1",Jan-04
"More footage of the devastation caused after a Magnitude 7.6 Earthquake hit 36 Km North East of Anamizu, Japan  | 1 January 2024 | 04:10 local time | #earthquake #Japan #JapanEarthquake #Japon",Jan-03
Replying to  @SkyNews,Jan-03
Highest number of major Earthquakes between 1990 and 2024   China: 186  Indonesia: 166  Iran: 109  Japan: 98  United States: 78  Turkiye: 62  India: 58  Philippines: 55  (NOAA),Jan-03
2024  1日地震 2日JALと海保の衝突 3日秋葉原駅で刺傷事件  2024   1 day earthquake  2nd: Conflict between JAL and the Japan Coast Guard A stabbing incident occurred at Akihabara Station on the 3rd.,Jan-03
" New Series of Digital painting + AI on  @exchgART    ‘REBUILD ACT’  All paintings and links are in this thread.  Half beaten and 2023 is over, come 2024.  I made these paintings sitting in Japan, my second home land. There was an earthquake, a Tsunami, two airplanes crashed,… Show more",Jan-03
"#عاجل كتائب القسام: أطلقنا مع كتائب المجاهدين صاروخ \أرض-جو\"" تجاه طائرة مروحية إسرائيلية شرق خانيونس.  #Tsunami #earthquake #Japan #حي_علي_الجهاد #عام_الابل_2024 #العام_الجديد_2024 #زد_رصيدك24 #محمد_صباح_السالم""",Jan-03
X Kicked Off 2024 by Screwing Up During Japan's Earthquake Emergency,Jan-03
Replying to  @hashpalette,Jan-03
"Fire erupts in kitakyushu city along the Uomachi Gintengai street, in Fukuoka Prefecture. A hard start of 2024  #Japan #Japon #JapanEarthquake #JapanAirlines #JapanTsunami #꽃향기_가득한_지수생일_왔단다",Jan-03
Happy New Year  Japan was hit by the earthquake and the plane crash. Please pray for those who have been affected.  May all of you have wonderful 2024  Live Love Laugh & be happy  You & I Dance under the starlight Don’t let my hands go Our hearts In love Infinitely  #NewYear2024,Jan-03
"RIIZE JAPAN FANBASE UNION will donate supplies for the 2024 Noto Peninsula Earthquake.  Please see the image below for more details.  ↓Donate here↓ https://ko-fi.com/seunghanjapan  *This is seunghan JP's account, but we will make a donation through UNION.",Jan-03
January 2024 in Japan  Jan.1st: big earthquake hit  Jan.2nd: A JAL aircraft collided with a Japan Coast Guard aircraft that was on its way to deliver relief supplies to the quake-stricken areas. Jan.3rd: Large fire breaks out in Kitakyushu shopping district.,Jan-03
"On Jan 1, 2024, earthquakes hit the west coasts of both Japan and the US. In 2022, Miles Guo reveals that the CCP is fully capable of artificially inducing earthquakes through precise underwater bombardment.   This inevitably leads people to wonder if these events are connected.",Jan-03
"Preliminary tele-seismic back-projection images for the Mw7.6 Japan earthquake on January 1, 2024. The total rupture length spans ~120 km, with ~70 km and 50 km for the northeast and southwest propagating ruptures.",Jan-03
"Happy New Year! While Japan has started the year with some challenges due to the recent earthquake, we remain hopeful and resilient. I wish everyone a year filled with peace, health, and happiness.  2024, the Year of the Dragon  DALL-E3",Jan-03
 Stay safe Japan can't believe it's really painful moment beginning of 2024  #goodbye2023 #HappyNewYear    #ManOfTheYear #earthquake #Japan #ซีนุนิวเคานต์ดาวน์ไอคอนสยาม #tsunami #เบียร์เดอะวอยซ์ #けん玉失敗 #เบียร์thevoice  #จดหมายปรีดี #สึนามิ #HappyNewYear2024… Show more,Jan-03
Replying to  @sentdefender,Jan-03
"On Jan 1, 2024, earthquakes hit the west coasts of both Japan and the US. In 2022, Miles Guo reveals that the CCP is fully capable of artificially inducing earthquakes through precise underwater bombardment.   This inevitably leads people to wonder if these events are connected.",Jan-03
"Preliminary tele-seismic back-projection images for the Mw7.6 Japan earthquake on January 1, 2024. The total rupture length spans ~120 km, with ~70 km and 50 km for the northeast and southwest propagating ruptures.",Jan-03
"Scenes from the M7.5 earthquake that hit central Japan on January 1, 2024 https://twitter.com/Levandov_2/status/1742454925601247614/video/1…",Jan-03
" Free Tesla Superchargers open in Japan after devastating earthquakes #TeslaNews  Tesla Superchargers in the Hokuriku area are open for free to help people get around after a series of quakes hit Japan on January 1, 2024.  Tesla Japan informed the public about its free charging… Show more",Jan-03
"Japan earthquake 2024, 7.6 magnitude - 62 dead; Turkey/Syria 2023, 7.8 -  60 000 dead - corrupt government and builders.",Jan-03
"His Holiness the 14th Dalai Lama offers condolences and prayers for the recent earthquakes in Japan on Wednesday, 3 January 2024. #JapanEarthquake #DalaiLama",Jan-03
Brave Blossoms head coach Eddie Jones sends a new years message and thoughts to those affected by Monday’s earthquake and tsunami in west Japan   #JapanRugby | #2024,Jan-03
" Earthquake on the west coast of Japan January 1, 2024  God bless Japan. Let's pray for them to overcome this difficulty and quickly fix the damage caused by natural disasters… Show more",Jan-03
"In response to the recent earthquakes in Japan, Tesla opened up its Superchargers in the Hokuriku area for FREE until Jan 9, 2024. Our thoughts are with everyone in Japan.  #Tesla   https://teslarati.com/tesla-supercharger-free-japan-earthquake-2024/… by  @Writer_01001101",Jan-03
" #TheLordJudgesSin   THE LORD has presented a a golden opportunity of national repentance for the USA.   The Japan January 1, 2024 earthquake is GOD’S love saying that He won’t allow us to wallow in sin with idol gods.  HE WILL ESTABLISH HIS KINGDOM over all the earth.  (Daniel… Show more",Jan-03
I would like to express our deepest sympathies to all those affected by the 2024 Sea of Japan earthquake. I pray for your safety and for the earliest possible restoration and peaceful life.,Jan-03
" On the first day of 2024, there were earthquakes in MULTIPLE places all through the world, and the United States.  The only one you really heard about was Japan, that one being the WORST at 7.6 on the Richter scale.   Just today, January 2, there were earthquakes reported in both… Show more",Jan-03
Registro del Terremoto 7.5 en Japón de hoy 01 de Enero de 2024 #terremoto #japan #japon #earthquake #fyp #temblor #chile #sismo,Jan-03
" Day at the beginning of 2024, a major earthquake struck Japan's Noto Peninsula. Many people are still forced to live in evacuation centers. The area is also experiencing heavy snowfall, and there are many COVID and Ful cases in Japan. We hope that you will spread the word and let… Show more",Jan-03
First shrine visit of the new year (初詣) to Heian Shrine (平安神宮). Here's hoping 2024 takes a turn for the better after the rocky start it got off to in Japan!  (My thoughts are with those affected by the earthquake and airline incident.),Jan-03
" The  @USGS  reported that the January 1, 2024, M7.5 earthquake on the west coast of Japan, on the island of Honshu, occurred as a result of shallow reverse faulting in the Earth’s crust. Focal mechanism solutions for the earthquake indicate faulting occurred on a moderately dipping… Show more",Jan-03
" It’s only the second day of 2024 and so far we’ve had:  - A 7.4 earthquake in Japan - The US military engaging with Iran-backed Houthi rebels, sinking 3 of their vessels and killing 10 of their soldiers - A fatal airplane collision in Japan’s Hanaka airport - Harvard President… Show more",Jan-03
Rupture process of the 2024 Jan 1st Magnitude 7.5 Japan earthquake revealed from a preliminary subevent model derived with teleseismic waves. First ruptured to Southwest then bilaterally ruptured to Northeast. Should be refined when better hypocenter and local data available.,Jan-03
"I’ve seen forest move in similar before but never concrete. From Japan during the first day of 2024 and the sound makes it extra eerie.   I think this is the most shared video, or among the most shared that I’ve seen at #JapanEarthquake and #Japan today.",Jan-02
" The  @USGS  reported that the January 1, 2024, M7.5 earthquake on the west coast of Japan, on the island of Honshu, occurred as a result of shallow reverse faulting in the Earth’s crust. Focal mechanism solutions for the earthquake indicate faulting occurred on a moderately dipping… Show more",Jan-03
"On Jan 1, 2024, earthquakes hit the west coasts of both Japan and the US. In 2022, Miles Guo reveals that the CCP is fully capable of artificially inducing earthquakes through precise underwater bombardment.  This inevitably leads people to wonder if these events are connected.",Jan-02
"After #earthquake and #Tsunami fear on 1st day of 2024, its #japanairlines plane crash at #TokyoAirport. Thank God all Passengers evacuated in time.  God please be with Japan.   #HanedaAirport #Japan #JapanEarthquake",Jan-02
"Mitsukejima (見附島), a famous scenic island in Ishikawa prefecture in Japan, before & after the January 1, 2024, M7.5 earthquake.  Weather Updates PK 2.0 - Jawad Memon / Pakistan Doppler",Jan-02
Japan is off to a sad start of 2024. First the earthquake and now the Japan Airlines crash. Amazed that everyone on that plane got off safely. Very sad for the five lives lost on the Japanese Coast Guard plane they hit. That plane was loaded with earthquake relief supplies.,Jan-02
"Feeling bad for #Japan. After #earthquake and #Tsunami fear on 1st day of 2024, its #japanairlines plane crash at #TokyoAirport. Thank God all Passengers evacuated in time.  God please be with Japan. #Japon #planecrash #HanedaAirport #earthquakes #JapanEarthquake",Jan-02
"what a great start for Japan for 2024  First a massive earthquake, then this plane thing in Haneda. Are we okay?",Jan-02
Replying to  @CountDankulaTV,Jan-02
"1/Our thoughts and prayers are with the government and people of #Japan as they started 2024 with loss of lives and property caused by a destructive 7.6 #earthquake in the #IshikawaPrefecture . We know careful, efficient responses are being delivered to the affected areas",Jan-02
" Japan Quakes: Nuclear Plants Unaffected  A series of strong earthquakes struck western Japan on January 1st, 2024, triggering tsunami warnings along the country's west coast. Seven nuclear power plants located in the affected areas - Ohi, Takahama, Mihama, Tsuruga, Shika,… Show more",Jan-02
Japan has already been hit by one tragedy in 2024 - an earthquake - now one of the country’s busiest airports is battling a major fire.    Tokyo's Haneda airport in Japan  Here's everything we know so far,Jan-02
2024 کے آغاز میں ہی جاپان میں خوفناک زلزلہ  اللہ تعالیٰ سب کو اپنے حفظ و امان میں رکھے آمین  #จดหมายปรีดี #เบียร์thevoice #Japan #JapanEarthquake #عمران_ریاض_خان #QaziFaezIsa,Jan-02
"चल नई शुरूआत कर, भूल के जो हो गया, हाथ पे हाथ यूं क्या रखना..!! Me to myself in 2024  #Japan #Tokyo #JapanEarthquake #HanedaAirport #JapanAirlines  #HitandRunLaw #TruckDriversProtest #Tokyo",Jan-02
" The Republic of the Union of Myanmar  National Unity Government #NUG  2 January 2024 The National Unity Government expresses profound sadness upon learning about the earthquake that struck the central region of Japan on January 1, 2024, and the potential threat of a subsequent… Show more",Jan-02
Second day of 2024 second disaster in Japan Flight 516 crashed landed All crew evacuated  safely  Please pray for Japan    #全員脱出 #羽田空港 #海保の方 #飛行機事故 #海保の機体 #จดหมายปรีดี #สึนามิ #Japan #earthquake #Tsunami #tsunami2024,Jan-02
"चल नई शुरूआत कर, भूल के जो हो गया, हाथ पे हाथ यूं क्या रखना..!! Me to myself in 2024  #Japan #Tokyo #JapanEarthquake #HanedaAirport #JapanAirlines  #HitandRunLaw #TruckDriversProtest #Tokyo",Jan-02
"#HEPCO Japan: \operator of #Shika nuclear power plant in quake-hit #Ishikawa Prefecture says systems to supply electricity to the facility from outside sources remain partially unusable.\"" https://www3.nhk.or.jp/nhkworld/en/news/20240102_33/… 1/1/2024 #Noto #earthquake Go #GreenNewDeal #nonukes #tech #security""",Jan-02
" January 1, 2024  According to media reports, on the evening of January 1, 2024, at least 48 people died as a result of a powerful New Year's earthquake that occurred off the western coast of Japan.   Significant damage was inflicted on the Ishikawa Prefecture, with much… Show more",Jan-02
 Happy New Year  @TotalMotorcycle  #Riders ! Praying for #JapanEarthquake victims.   Emergency! Your motorcycle grip/handlebar falls off? What do you do?!  Follow  @TotalMotorcycle    緊急！ バイクのグリップが脱落してしまいませんか？ 職業はなんですか？！  Happy 2024 and Welcome to… Show more,Jan-02
"In Japan, an earthquake followed an airplane accident and killed 5 people. 2024 is a terrible beginning.",Jan-02
"Someone just forwarded this  @alto_maple  video of the Haneda, Japan  @airbus  A350 fire from inside the plane.  All 379 people on board evacuated safely but 5 were killed in the Dash 8 aircraft they collided with.  Earthquake, tsunami and a plane fire - a rough 2024 for Japan.",Jan-02
"Continuing Israel - Hamas war, airplane crash in Japan, huge earthquake in Japan, South Korean opposition leader stabbed, Russian missile strikes against Ukraine. And we are just 2 days into 2024...",Jan-02
Golden Sunrise Guardians  Happy first Tuesday of year 2024 dear friends! Praying for my friends in Japan! Hope they are not affected by recent earthquakes #SXM #Caribbean #Svetan #SvetanPhotography  #Nikon #JapanEarthquake #tuesdayvibe #TuesdayFeeling #TuesdayMotivaton,Jan-02
"Feeling bad for #Japan. After #earthquake and #Tsunami fear on 1st day of 2024, its #japanairlines plane crash at #TokyoAirport. Thank God all Passengers evacuated in time.  God please be with Japan.  #planecrash #HanedaAirport #WhatsApp #MadhuriDixit #AsaduddinOwaisi",Jan-02
 Wild start of 2024   The Queen of Denmark resigns.  Japan hit by strong earthquake.  5-meter high waves hit Japan   Plane on fire at an airport in Tokyo due to a collision on ground. Evacuation of passengers.  Britain joins a U.S.-led military campaign against the… Show more,Jan-02
What a rough 2024 for Japan. The first day- Earthquake  Second day- plane collision.,Jan-02
"https://asia.nikkei.com/Business/Travel-Leisure/Japan-Airlines-plane-catches-fire-upon-landing-at-Tokyo-s-Haneda… First earthquake, now plane on fire. Japan isn’t starting 2024 very well, I’m afraid. Glad no one was hurt.",Jan-02
Seeing the destruction part of Japan had faced at the start of 2024 from the earthquake & tsunami really puts things into perspective  Life is short & things can happen in a blink of an eye  My thoughts are with all those affected & praying for the safety of everyone there,Jan-02
Replying to  @MattWallace888,Jan-02
2024 is off to a really ominous start.  7.6 Japan earthquake. Aeroplane burnt to ashes in Japan. Extra terrestrial species paying visit to Florida.,Jan-02
Let's spare a thought for the people of Japan starting 2024 with a 7.6 Earthquake although used to these quakes it's devastating watching your home crumble and having to run for your life as the ground opens up before your very eyes Sadly the numbers are rising in the death toll,Jan-02
First day of 2024: Japan has an earthquake and tsunami Second day of 2024: Japanese plane on fire.   My nephew is traveling in Japan at the moment.,Jan-02
"Earthquake, then tsunami and now this? Yhooo what a way for Japan to enter 2024 https://x.com/spectatorindex/spectatorindex/status/1742119955573932505…",Jan-02
Japan needs some divine help.  Earthquake  Tsunami Planes colliding   What a sad start to 2024,Jan-02
East Asia news gods busy in early 2024  ⁃Magnitude 7.6 earthquake in Central Japan ⁃South Korean opposition leader Lee Jae-Myung stabbed in the neck ⁃Japan Airlines plane catches fire at Haneda Airport in Tokyo,Jan-02
First an earthquake & now 2 planes collided in Tokyo airport. 2024 is off to a great start for Japan,Jan-02
"Japan started the year 2024 with a massive earthquake, a Tsunami and an A350 collision upon landed, and somehow no one has died of any of these events",Jan-02
Replying to  @ShivAroor,Jan-02
Day 2 of 2024:  1. Powerful Japan Earthquake 2. Ethiopia makes a groundshaking territorial move against an EAC member 3. Japan Airlines Airbus in flames after airport collision 4. Uganda sues Kenya at the EACJ,Jan-02
♡♡  الدَعوه بِالسَعادَة مِن اَجمَل ما يَدعُو بِه المُؤمِن لِمن اَحب، اللهُم أرزقهم و ارزُقنَا سَعادة الدُنيا ونَعِيم الآخِرة.  #مساء_الخير_والسعاده  #زد_رصيدك24 #الاسعار_الجديدة #البحر_الأحمر #العام_الجديد_2024 #السنه_الجديده #Japan #earthquake,Jan-02
"2024 has just started yet there's a lot of happening in Japan lately a Strong earthquake yesterday now a Japan Airlines, Flight Collision with a Japanese Coast Guard Aircraft at Haneda International Airport glad all of the passengers are safe",Jan-02
" A #Chinese woman married a European man. During the earthquake in Japan in early 2024, she cheered and celebrated like many other Chinese , an act that shocked her husband.   She tried to explain the legitimacy of the celebration to her husband, even using some offensive… Show more",Jan-02
Japan having an awful start to 2024 with earthquakes and now a plane catching on fire at Haneda airport...,Jan-02
"Good Morning Jags!  Not so good morning for Japan. On the first day of 2024, they get hit by 7.6 earthquake. On the second day, Japan Airline plane with possible crash (news pending).",Jan-02
Replying to  @aviationbrk,Jan-02
January 1: earthquake January 2: plane on fire at airport  What else is on Japan’s bingo card for 2024?,Jan-02
So let’s see… in the first 48 hours of 2024 Japan has already experienced an earthquake and Haneda airport is on fire. I’m starting to have pretty low expectations for this year.,Jan-02
2024 is already an opp…avoided the earthquake since I was on the other side of Japan & the plane on fire happened at the same airport I took off from today,Jan-02
"That’s it Japan, I’m ready to just skip ahead to 2025. Like, seriously. First earthquakes and tsunamis, now planes on fire? Nope, I elect to skip 2024 if this is what’s scheduled.",Jan-02
We were among a crowd on  45 floor of Tokyo Metropolitan City Building when major earthquake hit Japan on a New Year’s day (2024). Amazing to watch the resilience & crisis management skill of the people. A lesson to share with rest of humanity. エリトリア エチオピア #Eriitrea,Jan-02
ये 2024 इतना बोरिंग क्यो लग रहा है???  #Japan #earthquake #จดหมายปรีดี #Japon #TruckDriversProtest,Jan-02
We’ve had: - A massive earthquake and tsunamis in Japan - The South Korean Opposition Leader being attacked and stabbed in the neck  - A plane on fire. All within the first 48 hours of 2024,Jan-02
ஜப்பான் நிலநடுக்கத்தின் தீவிரத்தை காட்டும் புகைப்படங்கள்.   2024 புத்தாண்டு தினத்தில் 7.6 என்ற அளவில் ஜப்பானின் மத்திய நோட்டோ பிராந்தியத்தில் ஏற்பட்ட நிலநடுக்கத்தில் குறைந்தது 48 பேர் உயிரிழந்துள்ளனர்.  #Japan #Earthquake #Tsunami,Jan-02
"I’m late with replying on here, I’m so sorry qwq  2024 started so chaotic like wtf… There was a big earthquake in Japan and I’m praying for all the ppl rn. Our family is fine, they don’t live close to Ishikawa-ken but we wanted to be sure they are okay.",Jan-02
"Thank you for all the kind messages reaching out to me about the earthquake here in Japan on the 1st. Yes, I felt it and it was very big, but I wasn't that close so nothing was damaged and I was outside the resulting tsunami warning. What a way to ring in 2024",Jan-02
"Footage of Japan's magnitude-7.4 earthquake on January 1, 2024",Jan-02
#uranium in ASX First day of trading in 2024!  and the Japan Earthquake has not scared the investors,Jan-02
"THE LORD struck Japan with a very powerful earthquake on January 1 2024.  The LORD gave the Nation time to repent, the Prophecy was given on August 1 2023 and has been sitting in the web since.   The LORD is demanding repentance from all the Nations.  #TheLordJudgesSin",Jan-02
"Coming up on  @TimesRadio  Breakfast: it’s 2024, the year of the greatest number of elections in history. Will we get one? Kate’s here all week, as we become highly political. Plus good and bad news on cancer, Japan earthquake latest, plastic packaging, kids’ endless holidays etc",Jan-02
" On 1 January 2024, at 16:10 JST, a MJMA7.6 or Mw7.5 earthquake struck 7 km north-northwest of Suzu, located in the Noto Peninsula of Ishikawa Prefecture, Japan. It was the largest earthquake in the country since the Great East Japan earthquake of March 2011 #JapanEarthquake… Show more",Jan-02
" The scale of the destruction on the Noto Peninsula emerged with buildings still smoldering due to a fire caused by the Magnitude 7.6 Earthquake that hit 36 Km North East of Anamizu, Japan  | 1 January 2024 | 04:10 local time | #earthquakejapan #japanearthquake2024 #Japan… Show more",Jan-02
" The power earthquake magnitude 7.6 hit the Japan on first day of new year 2024, and  trigring the tsunami around coastline area. Buildings have collapsed, trapping people under rubble , power and communications networks were still down. Tens of thousands of people have been told… Show more",Jan-02
Replying to  @sentdefender,Jan-02
"After two floods in Tamil Nadu, now , the #JapanEarthquake is devastating. 2024 please be kind to the people",Jan-02
"Japan Earthquake 2024: जापान में सब कुछ तहस-नहस, 24 घंटे में 56 बार आए भूकंप के झटके https://sachkahoon.com/everything-is-in-ruins-in-japan/… via  @Sachkahoon  - Best Online Hindi News  #japan #earthquake #japanearthquake #japantsunami #tsunami",Jan-02
Replying to  @EbrahimNasreen,Jan-02
"2024 has been hot since day one. Japan had an earthquake followed by a tsunami. China's Xi Jinping threatens to seize Taiwan. This year will be an \election year\"" in Pakistan as well. #HappyNewYear2024 #PrayForJapan #JapanEarthquake #Tsunami #จดหมายปรีดี #Earthquake""",Jan-02
"Does anyone else take the earthquake in Japan as God's way of saying, \Be vigilant for Christ's return\""?  I just don't see an earthquake to start 2024 as a coincidence.""",Jan-02
"Dünya ve benim için acılarla dolu,zor bir imtihan yılıydı 2023. 2024 te acılar geçecek! Gözyaşının yerini gülümsemelere,yalanın gerçeklere ve acının mutluluğa bırakacağı bir yıl hepimizle olsun. Yılın ilk mesaisi başlasın #günaydın #salı #Japon  #JapanEarthquake  #OTDirecto31D",Jan-02
Very first day of 2024 headlines:   Los Angeles Earthquake  Japan Earthquake/Tsunami  S.Korea Opp Leader Assassination  Iran/Houthis attack US NAVY Largest Russian attack inbound for Ukraine  Treasury Yields go Apeshit   It’s been 1 damn day… yikes lol,Jan-02
" Ishikawa prefecture was hit with a massive earthquake and devastating tsunami on the first day of 2024, and Yahoo Japan have just opened up a donation pool to support those that have been affected.  As someone who lives in Japan, loves Japan deeply and has had my home affected by… Show more",Jan-02
Day 1  Japan Earthquake  Epstein list release Stabbing of Lee Jae-myung   What a start to 2024 … still 365 days to go.,Jan-02
"So far, we get a 7.6 magnitude earthquake in Japan and South Korea's opposition leader Lee Jae-Myung gets stabbed in the neck.  And 2024 just started.",Jan-02
Japan is incredible country for me. It deserves better and I strongly believe that people can stand up again after any kind of challenges. All the best in 2024 and wish everyone in Japan is safe.   #Japan #photography #写真好きな人と繋がりたい #earthquake #Blessing #safe,Jan-02
day 1 of 2024:  earthquake in Japan  day 2 of 2024: DPK leader gets stabbed  it's going to be an interesting year in Asia,Jan-02
Replying to  @CollinRugg,Jan-02
"A deadly earthquake rocks Japan with a magnitude 7.5 quake just hours into 2024.  @MaggieRulli  has the latest on the dozens of homes destroyed, and residents now without power. https://trib.al/iiRdfVg",Jan-02
